Month,T,KUnits,S&P,Q1,Q2,Q3,Q4
Jan 1990,1,99.2,329.08,1,0,0,0
Feb 1990,2,86.9,331.89,1,0,0,0
Mar 1990,3,108.5,339.94,1,0,0,0
Apr 1990,4,119.0,330.80,0,1,0,0
May 1990,5,121.1,361.23,0,1,0,0
Jun 1990,6,117.8,358.02,0,1,0,0
Jul 1990,7,111.2,356.15,0,0,1,0
Aug 1990,8,102.8,322.56,0,0,1,0
Sep 1990,9,93.1,306.05,0,0,1,0
Oct 1990,10,94.2,304.00,0,0,0,1
Nov 1990,11,81.4,322.22,0,0,0,1
Dec 1990,12,57.4,330.22,0,0,0,1
Jan 1991,13,52.5,343.93,1,0,0,0
Feb 1991,14,59.1,367.07,1,0,0,0
Mar 1991,15,73.8,375.22,1,0,0,0
Apr 1991,16,99.7,375.34,0,1,0,0
May 1991,17,97.7,389.83,0,1,0,0
Jun 1991,18,103.4,371.16,0,1,0,0
Jul 1991,19,103.5,387.81,0,0,1,0
Aug 1991,20,94.7,395.43,0,0,1,0
Sep 1991,21,86.6,387.86,0,0,1,0
Oct 1991,22,101.8,392.45,0,0,0,1
Nov 1991,23,75.6,375.22,0,0,0,1
Dec 1991,24,65.6,417.09,0,0,0,1
Jan 1992,25,71.6,408.78,1,0,0,0
Feb 1992,26,78.8,412.70,1,0,0,0
Mar 1992,27,111.6,403.69,1,0,0,0
Apr 1992,28,107.6,414.95,0,1,0,0
May 1992,29,115.2,415.35,0,1,0,0
Jun 1992,30,117.8,408.14,0,1,0,0
Jul 1992,31,106.2,424.21,0,0,1,0
Aug 1992,32,109.9,414.03,0,0,1,0
Sep 1992,33,106.0,417.80,0,0,1,0
Oct 1992,34,111.8,418.68,0,0,0,1
Nov 1992,35,84.5,431.35,0,0,0,1
Dec 1992,36,78.6,435.71,0,0,0,1
Jan 1993,37,70.5,438.78,1,0,0,0
Feb 1993,38,74.6,443.38,1,0,0,0
Mar 1993,39,95.5,451.67,1,0,0,0
Apr 1993,40,117.8,440.19,0,1,0,0
May 1993,41,120.9,450.19,0,1,0,0
Jun 1993,42,128.5,450.53,0,1,0,0
Jul 1993,43,115.3,448.13,0,0,1,0
Aug 1993,44,121.8,463.56,0,0,1,0
Sep 1993,45,118.5,458.93,0,0,1,0
Oct 1993,46,123.3,467.83,0,0,0,1
Nov 1993,47,102.3,461.79,0,0,0,1
Dec 1993,48,98.7,466.45,0,0,0,1
Jan 1994,49,76.2,481.61,1,0,0,0
Feb 1994,50,83.5,467.14,1,0,0,0
Mar 1994,51,134.3,445.77,1,0,0,0
Apr 1994,52,137.6,450.91,0,1,0,0
May 1994,53,148.8,456.50,0,1,0,0
Jun 1994,54,136.4,444.27,0,1,0,0
Jul 1994,55,127.8,458.26,0,0,1,0
Aug 1994,56,139.8,475.49,0,0,1,0
Sep 1994,57,130.1,462.71,0,0,1,0
Oct 1994,58,130.6,472.35,0,0,0,1
Nov 1994,59,113.4,453.69,0,0,0,1
Dec 1994,60,98.5,459.27,0,0,0,1
Jan 1995,61,84.5,470.42,1,0,0,0
Feb 1995,62,81.6,487.39,1,0,0,0
Mar 1995,63,103.8,500.71,1,0,0,0
Apr 1995,64,116.9,514.71,0,1,0,0
May 1995,65,130.5,533.40,0,1,0,0
Jun 1995,66,123.4,544.75,0,1,0,0
Jul 1995,67,129.1,562.06,0,0,1,0
Aug 1995,68,135.8,561.88,0,0,1,0
Sep 1995,69,122.4,584.41,0,0,1,0
Oct 1995,70,126.2,581.50,0,0,0,1
Nov 1995,71,107.2,605.37,0,0,0,1
Dec 1995,72,92.8,615.93,0,0,0,1
Jan 1996,73,90.7,636.02,1,0,0,0
Feb 1996,74,95.9,640.43,1,0,0,0
Mar 1996,75,116.0,645.50,1,0,0,0
Apr 1996,76,146.6,654.17,0,1,0,0
May 1996,77,143.9,669.12,0,1,0,0
Jun 1996,78,138.0,670.63,0,1,0,0
Jul 1996,79,137.5,639.95,0,0,1,0
Aug 1996,80,144.2,651.99,0,0,1,0
Sep 1996,81,128.7,687.33,0,0,1,0
Oct 1996,82,130.8,705.27,0,0,0,1
Nov 1996,83,111.5,757.02,0,0,0,1
Dec 1996,84,93.1,740.74,0,0,0,1
Jan 1997,85,82.2,786.16,1,0,0,0
Feb 1997,86,94.7,790.82,1,0,0,0
Mar 1997,87,120.4,757.12,1,0,0,0
Apr 1997,88,142.3,801.34,0,1,0,0
May 1997,89,136.3,848.28,0,1,0,0
Jun 1997,90,140.4,885.14,0,1,0,0
Jul 1997,91,134.6,954.31,0,0,1,0
Aug 1997,92,126.5,899.47,0,0,1,0
Sep 1997,93,139.2,947.28,0,0,1,0
Oct 1997,94,139.0,914.62,0,0,0,1
Nov 1997,95,112.4,955.40,0,0,0,1
Dec 1997,96,106.0,970.43,0,0,0,1
Jan 1998,97,91.2,980.28,1,0,0,0
Feb 1998,98,101.1,1049.34,1,0,0,0
Mar 1998,99,132.6,1101.75,1,0,0,0
Apr 1998,100,144.9,1111.75,0,1,0,0
May 1998,101,143.3,1090.82,0,1,0,0
Jun 1998,102,159.6,1133.84,0,1,0,0
Jul 1998,103,156.0,1120.67,0,0,1,0
Aug 1998,104,147.5,957.28,0,0,1,0
Sep 1998,105,141.5,1017.01,0,0,1,0
Oct 1998,106,155.5,1098.67,0,0,0,1
Nov 1998,107,124.2,1163.63,0,0,0,1
Dec 1998,108,119.6,1229.23,0,0,0,1
Jan 1999,109,106.8,1279.64,1,0,0,0
Feb 1999,110,110.2,1238.33,1,0,0,0
Mar 1999,111,147.3,1286.37,1,0,0,0
Apr 1999,112,144.6,1335.18,0,1,0,0
May 1999,113,153.2,1301.84,0,1,0,0
Jun 1999,114,149.4,1372.71,0,1,0,0
