"","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"1",2010-09-22,20.87,20.95,19.8,19.87,19.87,962900,0,1,19.9874,19.9874,0.246,0.246,0.246,25.7973,25.7973,NA,6.7719,9.6477,NA,NA,16.9173,16.9173,16.9173,-8274562.1239,-15117100
"2",2010-09-23,19.89,20.14,19.5,19.56,19.56,668100,0,1,19.9153,19.9734,0.1449,0.1449,0.1449,20.1334,20.1334,44.6675,6.6943,-15.673,8.3333,8.3333,17.0167,17.0167,17.0167,-8817393.3739,-15785200
"3",2010-09-24,19.95,20.19,19.65,20.1,20.1,578900,0,1,19.8531,19.9776,0.107,0.107,0.107,15.1624,15.1624,45.4059,6.6283,5.0204,6.6667,6.6667,17.1389,17.1389,17.1389,-8431460.0406,-15206300
"4",2010-09-27,20.4,20.81,20.05,20.53,20.53,418600,0,1,19.8292,19.9957,0.1105,0.1105,0.1105,16.733,16.733,45.9896,6.6765,39.4322,5,5,17.1648,17.1648,17.1648,-8321302.1458,-14787700
"5",2010-09-28,21.04,21.49,20.76,21.4,21.4,1214500,0,1,19.8659,20.0417,0.1814,0.1814,0.1814,32.4119,32.4119,47.1522,6.8409,86.9895,3.3333,3.3333,17.1767,17.1767,17.1767,-7406267.8993,-13573200
"6",2010-09-29,21.19,22.03,21.13,21.98,21.98,1969300,0,1,19.9638,20.1053,0.2811,0.2811,0.2811,55.686,55.686,47.9123,7.09,117.342,1.6667,1.6667,17.4042,17.4042,17.4042,-5655779.0104,-11603900
"7",2010-09-30,22,22.1499,20.19,20.405,20.405,2195800,0,1,20.0405,20.1151,0.2303,0.2303,0.2303,71.3819,71.3819,46.0819,7.1317,62.6306,0,0,17.72,17.72,17.72,-7369822.7983,-13799700
"8",2010-10-01,20.69,20.75,20.31,20.6,20.6,597700,0,1,20.0928,20.131,0.2035,0.2035,0.2035,69.096,69.096,46.34,7.172,34.4521,0,0,17.8678,17.8678,17.8678,-7179645.5256,-13202000
"9",2010-10-04,20.43,21.17,20.3,20.99,20.99,643600,0,1,20.1527,20.1592,0.2113,0.2113,0.2113,52.8145,52.8145,46.8574,7.2854,52.9463,0,0,18.0298,18.0298,18.0298,-6802362.767,-12558400
"10",2010-10-05,21.15,21.28,21.01,21.12,21.12,332000,0,1,20.2205,20.1907,0.2254,0.2254,0.2254,40.6766,40.6766,47.0306,7.4146,77.1013,1.6667,1.6667,18.2434,18.2434,18.2434,-6863844.2485,-12226400
"11",2010-10-06,21.06,21.258,20.32,20.46,20.46,313400,0,1,20.2592,20.1995,0.1812,0.1812,0.1812,34.8577,34.8577,46.2526,7.3882,36.4726,0,0,18.357,18.357,18.357,-7083692.0096,-12539800
"12",2010-10-07,20.57,20.64,20.34,20.43,20.43,141000,0,1,20.269,20.207,0.1421,0.1421,0.1421,32.3334,32.3334,46.2172,7.3627,16.5408,35,35,18.3695,18.3695,18.3695,-7140092.0096,-12680800
"13",2010-10-08,20.43,20.79,20.39,20.43,20.43,267800,0,1,20.278,20.2144,0.1098,0.1098,0.1098,24.094,24.094,46.2172,7.3673,21.9445,33.3333,33.3333,18.3807,18.3807,18.3807,-7354332.0096,-12680800
"14",2010-10-11,20.44,20.699,20.07,20.24,20.24,171200,0,1,20.2713,20.2152,0.0682,0.0682,0.0682,17.2644,17.2644,45.9871,7.2989,4.3572,31.6667,31.6667,18.3763,18.3763,18.3763,-7432991.4691,-12852000
"15",2010-10-12,20.2,20.2829,20.03,20.24,20.24,244000,0,1,20.2435,20.216,0.0347,0.0347,0.0347,13.9225,13.9225,45.9871,7.2235,-7.358,30,30,18.3971,18.3971,18.3971,-7271772.0148,-12852000
"16",2010-10-13,20.64,20.85,20.36,20.54,20.54,318200,0,1,20.2475,20.2266,0.0321,0.0321,0.0321,19.8158,19.8158,46.4228,7.2679,30.1419,28.3333,28.3333,18.3996,18.3996,18.3996,-7356192.4229,-12533800
"17",2010-10-14,21,21.0299,20.4,20.75,20.75,294800,0,1,20.2563,20.2438,0.0464,0.0464,0.0464,32.1183,32.1183,46.7286,7.3475,42.4178,26.6667,26.6667,18.404,18.404,18.404,-7323384.8662,-12239000
"18",2010-10-15,20.89,20.9,20.25,20.54,20.54,284700,0,1,20.2487,20.2535,0.0403,0.0403,0.0403,47.7618,47.7618,46.4589,7.387,27.907,25,25,18.4049,18.4049,18.4049,-7354044.8662,-12523700
"19",2010-10-18,20.52,20.6399,20.22,20.23,20.23,162800,0,1,20.231,20.2527,0.0104,0.0104,0.0104,53.2806,53.2806,46.0598,7.4174,10.894,23.3333,23.3333,18.4073,18.4073,18.4073,-7509090.639,-12686500
"20",2010-10-19,20.2,20.4061,20,20.05,20.05,245200,0,1,20.216,20.2461,-0.0276,-0.0276,-0.0276,44.8982,44.8982,45.8273,7.3898,-8.0426,21.6667,21.6667,18.4014,18.4014,18.4014,-7693911.422,-12931700
"21",2010-10-20,20.16,20.69,20.04,20.65,20.65,312500,0,1,20.2177,20.2593,-0.0091,-0.0091,-0.0091,34.094,34.094,46.7386,7.4274,21.9155,20,20,18.4017,18.4017,18.4017,-7419872.9605,-12619200
"22",2010-10-21,20.61,20.95,20.45,20.75,20.75,417100,0,1,20.2182,20.2754,0.0134,0.0134,0.0134,34.5274,34.5274,46.89,7.5224,46.6208,18.3333,18.3333,18.4016,18.4016,18.4016,-7336452.9605,-12202100
"23",2010-10-22,20.68,20.93,20.55,20.72,20.72,161100,0,1,20.2243,20.29,0.0286,0.0286,0.0286,50.3039,50.3039,46.8493,7.6142,47.4117,16.6667,16.6667,18.4035,18.4035,18.4035,-7353410.8552,-12363200
"24",2010-10-25,20.94,20.98,20.73,20.85,20.85,118500,0,1,20.2395,20.3084,0.0504,0.0504,0.0504,67.3596,67.3596,47.0516,7.7148,57.2775,15,15,18.4133,18.4133,18.4133,-7358150.8552,-12244700
"25",2010-10-26,20.8,21.87,20.51,21.36,21.36,660900,0,1,20.2468,20.3428,0.1077,0.1077,0.1077,77.1085,77.1085,47.8432,8.0133,93.0781,13.3333,13.3333,18.4063,18.4063,18.4063,-7192925.8552,-11583800
"26",2010-10-27,21.25,21.38,20.65,21,21,356500,0,1,20.231,20.3644,0.1226,0.1226,0.1226,74.8583,74.8583,47.3352,8.3019,72.3858,11.6667,11.6667,18.4335,18.4335,18.4335,-7207576.5402,-11940300
"27",2010-10-28,21.39,21.5,20.96,21.19,21.19,224200,0,1,20.2298,20.3914,0.1481,0.1481,0.1481,65.9019,65.9019,47.6336,8.6077,92.8291,10,10,18.4349,18.4349,18.4349,-7240791.355,-11716100
"28",2010-10-29,21.14,21.85,21.052,21.84,21.84,280600,0,1,20.253,20.4389,0.2181,0.2181,0.2181,60.5543,60.5543,48.6461,8.9813,124.1457,8.3333,8.3333,18.412,18.412,18.412,-6967223.9364,-11435500
"29",2010-11-01,21.94,22.75,21.31,21.41,21.41,455800,0,1,20.2833,20.4708,0.2363,0.2363,0.2363,59.4847,59.4847,48.0215,9.5296,141.7824,6.6667,6.6667,18.4271,18.4271,18.4271,-7359718.3809,-11891300
"30",2010-11-02,21.68,21.8792,21.05,21.25,21.25,322500,0,1,20.3108,20.4963,0.235,0.235,0.235,60.1159,60.1159,47.7893,9.974,98.9734,5,5,18.447,18.447,18.447,-7526646.7456,-12213800
"31",2010-11-03,21.28,22.5,21.16,21.77,21.77,372600,0,1,20.3565,20.5381,0.2729,0.2729,0.2729,52.0576,52.0576,48.6105,10.5274,134.4941,3.3333,3.3333,18.4862,18.4862,18.4862,-7560013.9098,-11841200
"32",2010-11-04,22.6,25.33,22.151,24.9,24.9,1874000,0,1,20.4732,20.6811,0.5491,0.5491,0.5491,49.3691,49.3691,53.1239,11.5158,339.4717,1.6667,1.6667,18.3714,18.3714,18.3714,-6192978.364,-9967200
"33",2010-11-05,24.87,24.97,23.72,24.44,24.44,1011000,0,1,20.5872,20.8043,0.7225,0.7225,0.7225,54.6875,54.6875,52.4356,12.4713,349.3882,0,0,18.3817,18.3817,18.3817,-6039306.364,-10978200
"34",2010-11-08,24.5,25,24.03,24.98,24.98,509500,0,1,20.6982,20.9413,0.8933,0.8933,0.8933,71.0186,71.0186,53.1601,13.3991,354.3851,0,0,18.2984,18.2984,18.2984,-5550816.6733,-10468700
"35",2010-11-09,25,25.69,24.0501,24.63,24.63,956400,0,1,20.7957,21.0622,0.9889,0.9889,0.9889,80.3356,80.3356,52.6317,14.3905,336.4293,0,0,18.245,18.245,18.245,-5830814.0146,-11425100
"36",2010-11-10,24.48,29.97,24.05,29.36,29.36,3060500,0,1,20.9658,21.3343,1.4299,1.4299,1.4299,85.4701,85.4701,58.3249,15.7918,499.1116,3.3333,3.3333,17.6343,17.6343,17.6343,-3401025.1632,-8364600
"37",2010-11-11,28.6,29.1,27.33,28.035,28.035,1945300,0,1,21.1202,21.5539,1.6535,1.6535,1.6535,82.8988,82.8988,56.394,17.1464,445.0335,1.6667,1.6667,17.3767,17.3767,17.3767,-3796679.4005,-10309900
"38",2010-11-12,28.25,30.5,28.07,29.84,29.84,2729100,0,1,21.3044,21.8256,1.9537,1.9537,1.9537,83.2775,83.2775,58.3062,18.5657,441.1688,0,0,16.9933,16.9933,16.9933,-2550053.4746,-7580800
"39",2010-11-15,30.22,32.9395,30.22,30.8,30.8,2622900,0,1,21.4994,22.1199,2.2433,2.2433,2.2433,80.4053,80.4053,59.2722,20.0987,445.3377,0,0,16.5882,16.5882,16.5882,-4054158.1078,-4957900
"40",2010-11-16,31,31.4,28.42,29.67,29.67,1347600,0,1,21.6584,22.3674,2.3545,2.3545,2.3545,79.4179,79.4179,57.6727,21.1205,326.3422,3.3333,3.3333,16.3344,16.3344,16.3344,-4271221.195,-6305500
"41",2010-11-17,30.2,30.75,28.61,29.49,29.49,750000,0,1,21.8299,22.6009,2.4004,2.4004,2.4004,71.2647,71.2647,57.4217,22.1082,278.5775,1.6667,1.6667,16.1807,16.1807,16.1807,-4404398.7651,-7055500
"42",2010-11-18,30.67,30.74,28.9201,29.89,29.89,956100,0,1,21.9964,22.8399,2.4409,2.4409,2.4409,60.6348,60.6348,57.8364,23.063,253.0661,0,0,16.006,16.006,16.006,-4341408.2766,-6099400
"43",2010-11-19,30.16,31.37,29.7,30.99,30.99,1150500,0,1,22.1837,23.1071,2.5326,2.5326,2.5326,49.9453,49.9453,58.9544,24.0377,248.0936,5,5,15.7962,15.7962,15.7962,-3714489.115,-4948900
"44",2010-11-22,31.57,33.45,31.5,33.4,33.4,1529700,0,1,22.4121,23.4446,2.7678,2.7678,2.7678,51.6772,51.6772,61.2442,25.1342,271.9872,3.3333,3.3333,15.443,15.443,15.443,-2263235.2688,-3419200
"45",2010-11-23,33.29,35.68,32.1901,34.57,34.57,1577800,0,1,22.6571,23.8094,3.0139,3.0139,3.0139,62.907,62.907,62.2829,26.3337,271.4847,1.6667,1.6667,15.0577,15.0577,15.0577,-1689107.5803,-1841400
"46",2010-11-24,35.27,35.97,34.334,35.47,35.47,1425000,0,1,22.9236,24.1917,3.2441,3.2441,3.2441,78.8478,78.8478,63.0575,27.5099,264.3848,0,0,14.6932,14.6932,14.6932,-1135134.4752,-416400
"47",2010-11-26,35.6,36,34.75,35.32,35.32,350600,0,1,23.1714,24.5566,3.3756,3.3756,3.3756,86.9776,86.9776,62.8388,28.6487,239.5089,25,25,14.3777,14.3777,14.3777,-1165987.2752,-767000
"48",2010-11-29,35.4122,35.95,33.33,34.33,34.33,1145600,0,1,23.3926,24.877,3.3611,3.3611,3.3611,87.5145,87.5145,61.4091,29.4086,203.9285,23.3333,23.3333,14.1656,14.1656,14.1656,-1437083.4584,-1912600
"49",2010-11-30,33.74,35.33,33.41,35.33,35.33,2222600,0,1,23.6306,25.2197,3.3913,3.3913,3.3913,82.8807,82.8807,62.2904,30.1431,190.0418,21.6667,21.6667,13.9329,13.9329,13.9329,785516.5416,310000
"50",2010-12-01,35.87,36.42,33.45,34.35,34.35,1299200,0,1,23.8607,25.5191,3.2981,3.2981,3.2981,73.0917,73.0917,60.9042,30.9331,176.7526,20,20,13.818,13.818,13.818,273710.481,-989200
"51",2010-12-02,34.01,34.2975,31.2,32.35,32.35,2007000,0,1,24.0516,25.743,3.0279,3.0279,3.0279,61.1419,61.1419,58.2155,31.2074,133.898,18.3333,18.3333,13.808,13.808,13.808,-243023.1752,-2996200
"52",2010-12-03,32.01,32.25,30.87,31.49,31.49,1160100,0,1,24.2312,25.9315,2.7131,2.7131,2.7131,42.4421,42.4421,57.113,31.4063,110.9788,16.6667,16.6667,13.8511,13.8511,13.8511,-360714.4795,-4156300
"53",2010-12-06,31.35,31.45,29.56,30.31,30.31,1274400,0,1,24.4002,26.075,2.3415,2.3415,2.3415,27.5334,27.5334,55.6426,31.3455,89.9966,15,15,13.9601,13.9601,13.9601,-623685.9081,-5430700
"54",2010-12-07,30.49,32.4,30.05,31.56,31.56,1311300,0,1,24.5809,26.2549,2.1233,2.1233,2.1233,17.9561,17.9561,56.8397,31.3803,98.3055,13.3333,13.3333,14.0272,14.0272,14.0272,-249825.9081,-4119400
"55",2010-12-08,32.48,32.49,31.52,32.37,32.37,660000,0,1,24.7684,26.4554,1.9928,1.9928,1.9928,21.6439,21.6439,57.5938,31.4227,104.3668,11.6667,11.6667,14.0686,14.0686,14.0686,246875.1228,-3459400
"56",2010-12-09,32.51,32.72,31.65,32.05,32.05,406000,0,1,24.9362,26.6388,1.8423,1.8423,1.8423,35.3251,35.3251,57.1923,31.4865,99.5046,10,10,14.1016,14.1016,14.1016,144426.5247,-3865400
"57",2010-12-10,32.05,32.92,31.1301,31.52,31.52,429400,0,1,25.1126,26.7988,1.6612,1.6612,1.6612,51.4569,51.4569,56.5286,31.4448,91.253,8.3333,8.3333,14.1997,14.1997,14.1997,-97898.1527,-4294800
"58",2010-12-13,31.64,31.77,30.4,30.55,30.55,410400,0,1,25.2846,26.9218,1.4229,1.4229,1.4229,57.5848,57.5848,55.3334,31.2626,75.195,6.6667,6.6667,14.3597,14.3597,14.3597,-418429.5395,-4705200
"59",2010-12-14,30.29,30.3899,27.761,28.53,28.53,1765700,0,1,25.4092,26.9745,1.0589,1.0589,1.0589,49.0731,49.0731,52.9619,30.6289,46.5074,5,5,14.5096,14.5096,14.5096,-1151132.2403,-6470900
"60",2010-12-15,28.67,29.97,28.53,29.6,29.6,742900,0,1,25.5563,27.0606,0.847,0.847,0.847,34.7986,34.7986,54.0234,30.0164,50.7654,3.3333,3.3333,14.6728,14.6728,14.6728,-790000.2958,-5728000
"61",2010-12-16,30,30.91,29.6501,30.81,30.81,790100,0,1,25.7387,27.1836,0.7678,0.7678,0.7678,29.8098,29.8098,55.1863,29.5409,62.7145,1.6667,1.6667,14.8758,14.8758,14.8758,-125322.9484,-4937900
"62",2010-12-17,31.34,31.54,30.71,31.36,31.36,813000,0,1,25.9353,27.3205,0.7409,0.7409,0.7409,40.2386,40.2386,55.7042,29.1568,69.8755,0,0,15.0998,15.0998,15.0998,335050.5456,-4124900
"63",2010-12-20,31.64,32.19,31.26,31.7,31.7,523400,0,1,26.1287,27.4641,0.7385,0.7385,0.7385,59.1093,59.1093,56.0237,28.8618,73.8822,0,0,15.3025,15.3025,15.3025,306910.7606,-3601500
"64",2010-12-21,31.8,32.69,31.7101,32.26,32.26,777700,0,1,26.3242,27.6213,0.7729,0.7729,0.7729,76.7448,76.7448,56.5487,28.6343,77.6837,26.6667,26.6667,15.4859,15.4859,15.4859,402069.685,-2823800
"65",2010-12-22,32.25,32.86,31.7,32.63,32.63,833300,0,1,26.5113,27.7855,0.8206,0.8206,0.8206,86.402,86.402,56.8945,28.4342,77.2907,25,25,15.6319,15.6319,15.6319,904923.1333,-1990500
"66",2010-12-23,31.26,32.48,29.92,30.09,30.09,1552600,0,1,26.6465,27.8611,0.6459,0.6459,0.6459,80.8987,80.8987,53.9003,27.9304,55.0157,23.3333,23.3333,15.7941,15.7941,15.7941,-441472.1792,-3543100
"67",2010-12-27,28.02,28.58,25.06,25.549,25.549,9301900,0,1,26.7322,27.7853,0.1395,0.1395,0.1395,62.7335,62.7335,49.1934,27.2222,-4.1712,21.6667,21.6667,15.9978,15.9978,15.9978,-7158923.827,-12845000
"68",2010-12-28,25.85,26.75,25,26.41,26.41,4056300,0,1,26.8291,27.7402,-0.1902,-0.1902,-0.1902,35.9063,35.9063,50.0347,26.5447,-10.1481,20,20,16.2135,16.2135,16.2135,-4678786.1127,-8788700
"69",2010-12-29,27.03,28.01,26.5,27.73,27.73,3319200,0,1,26.9414,27.7399,-0.341,-0.341,-0.341,21.5353,21.5353,51.2922,25.7238,6.9472,18.3333,18.3333,16.4332,16.4332,16.4332,-2590547.7021,-5469500
"70",2010-12-30,27.7,27.9,26.38,26.5,26.5,2041100,0,1,27.0311,27.6992,-0.5534,-0.5534,-0.5534,17.9619,17.9619,50.0975,24.9451,-1.1473,16.6667,16.6667,16.6319,16.6319,16.6319,-4309368.7547,-7510600
"71",2010-12-31,26.57,27.25,26.5,26.63,26.63,1417900,0,1,27.1339,27.6642,-0.7032,-0.7032,-0.7032,25.7759,25.7759,50.2221,24.1924,-4.5791,15,15,16.8756,16.8756,16.8756,-5235730.088,-6092700
"72",2011-01-03,26.84,26.9999,25.9,26.62,26.62,1283000,0,1,27.2371,27.6299,-0.8133,-0.8133,-0.8133,32.4941,32.4941,50.2123,23.5424,-10.428,13.3333,13.3333,17.1271,17.1271,17.1271,-4839013.7502,-7375700
"73",2011-01-04,26.66,26.95,26.02,26.67,26.67,1187400,0,1,27.3411,27.5984,-0.8863,-0.8863,-0.8863,39.5073,39.5073,50.2617,22.9142,-11.5946,11.6667,11.6667,17.3861,17.3861,17.3861,-4366607.2986,-6188300
"74",2011-01-05,26.48,26.9,26.19,26.83,26.83,1446700,0,1,27.4509,27.5733,-0.9206,-0.9206,-0.9206,43.5625,43.5625,50.4218,22.3068,-12.0806,10,10,17.6678,17.6678,17.6678,-3205172.0873,-4741600
"75",2011-01-06,26.83,28,26.81,27.88,27.88,2061200,0,1,27.5782,27.5833,-0.8533,-0.8533,-0.8533,49.9929,49.9929,51.4642,21.568,0.3982,8.3333,8.3333,17.9767,17.9767,17.9767,-1559676.289,-2680400
"76",2011-01-07,28,28.58,27.9,28.24,28.24,2247900,0,1,27.7066,27.6048,-0.7621,-0.7621,-0.7621,60.2435,60.2435,51.8175,20.9357,9.4697,6.6667,6.6667,18.2805,18.2805,18.2805,-1559676.289,-432500
"77",2011-01-10,28.17,28.68,28.05,28.45,28.45,1342700,0,1,27.8349,27.6325,-0.6652,-0.6652,-0.6652,75.37,75.37,52.0246,20.3386,10.1846,5,5,18.5831,18.5831,18.5831,-1197360.416,910200
"78",2011-01-11,28.59,28.71,26.92,26.96,26.96,1710200,0,1,27.9419,27.6105,-0.7005,-0.7005,-0.7005,78.9193,78.9193,50.4594,19.7266,-6.6674,3.3333,3.3333,18.8836,18.8836,18.8836,-2831126.8964,-8e+05
"79",2011-01-12,27.01,27.399,26.52,26.96,26.96,964400,0,1,28.0541,27.5892,-0.7202,-0.7202,-0.7202,69.3528,69.3528,50.4594,19.1921,-19.1949,1.6667,1.6667,19.2166,19.2166,19.2166,-2830029.7406,-8e+05
"80",2011-01-13,26.96,26.97,26.16,26.22,26.22,723600,0,1,28.1569,27.5443,-0.7865,-0.7865,-0.7865,44.9136,44.9136,49.6915,18.7268,-31.2726,0,0,19.5538,19.5538,19.5538,-3446429.7406,-1523600
"81",2011-01-14,26.15,26.58,25.61,25.75,25.75,1192000,0,1,28.2419,27.4855,-0.867,-0.867,-0.867,24.6623,24.6623,49.2079,18.3549,-42.9205,0,0,19.8387,19.8387,19.8387,-4294347.2663,-2715600
"82",2011-01-18,25.48,25.64,24.75,25.64,25.64,1621700,0,1,28.3234,27.4249,-0.9289,-0.9289,-0.9289,12.1449,12.1449,49.0941,18.1137,-57.9141,0,0,20.12,20.12,20.12,-2672647.2663,-4337300
"83",2011-01-19,25.27,25.47,23.75,24.03,24.03,2371500,0,1,28.3786,27.3136,-1.0953,-1.0953,-1.0953,10.1076,10.1076,47.4613,18.0112,-78.7297,3.3333,3.3333,20.3375,20.3375,20.3375,-4272030.9873,-6708800
"84",2011-01-20,24.03,24.45,22.37,22.62,22.62,2279900,0,1,28.4081,27.1597,-1.3256,-1.3256,-1.3256,11.0657,11.0657,46.0959,18.0799,-106.0946,1.6667,1.6667,20.4653,20.4653,20.4653,-6003878.1027,-8988700
"85",2011-01-21,23.12,23.59,22.71,23.04,23.04,1217000,0,1,28.4361,27.0247,-1.4575,-1.4575,-1.4575,11.03,11.03,46.5616,18.1464,-108.3863,0,0,20.5816,20.5816,20.5816,-6308128.1027,-7771700
"86",2011-01-24,23.53,24.81,23.23,24.49,24.49,1645100,0,1,28.4942,26.9416,-1.4285,-1.4285,-1.4285,16.7541,16.7541,48.1348,17.9982,-89.157,0,0,20.811,20.811,20.811,-5329397.7229,-6126600
"87",2011-01-25,24.65,24.89,24.02,24.68,24.68,1271500,0,1,28.5524,26.8674,-1.3744,-1.3744,-1.3744,30.0518,30.0518,48.3375,17.8413,-84.3777,0,0,21.0403,21.0403,21.0403,-4671725.3091,-4855100
"88",2011-01-26,24.71,24.88,24.1,24.75,24.75,1079900,0,1,28.6009,26.798,-1.3107,-1.3107,-1.3107,52.804,52.804,48.413,17.6896,-85.7554,3.3333,3.3333,21.2265,21.2265,21.2265,-3951791.9758,-3775200
"89",2011-01-27,24.74,25.08,24.53,24.92,24.92,895700,0,1,28.6594,26.7364,-1.2323,-1.2323,-1.2323,72.3627,72.3627,48.5986,17.5071,-82.412,1.6667,1.6667,21.4605,21.4605,21.4605,-3577226.5212,-2879500
