"","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"1",2004-08-19,100.01,104.06,95.96,100.335,50.3228,44659000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3583746.9136,44659000
"2",2004-08-20,101.01,109.08,100.5,108.31,54.3227,22834300,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22319582.811,67493300
"3",2004-08-23,110.76,113.48,109.05,109.4,54.8694,18256100,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6948193.872,85749400
"4",2004-08-24,111.24,111.6,103.57,104.87,52.5974,15247300,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3362246.8503,70502100
"5",2004-08-25,104.76,108,103.88,106,53.1641,9188600,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3094617.7241,79690700
"6",2004-08-26,104.95,107.95,104.66,107.91,54.1221,7094800,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3827664.3428,86785500
"7",2004-08-27,108.1,108.62,105.69,106.15,53.2393,6211700,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-433604.2579,80573800
"8",2004-08-30,105.28,105.49,102.01,102.01,51.1629,5196700,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5630304.2579,75377100
"9",2004-08-31,102.32,103.71,102.16,102.37,51.3435,4917800,0,1,NA,NA,NA,NA,NA,28.3368,10.4935,NA,NA,NA,NA,NA,NA,NA,NA,-9215539.0966,80294900
"10",2004-09-01,102.7,102.97,99.67,100.25,50.2802,9138200,0,1,NA,NA,NA,NA,NA,14.0588,3.9756,NA,NA,NA,NA,NA,NA,NA,NA,-15141523.3391,71156700
"11",2004-09-02,99.09,102.37,98.94,101.51,50.9122,15118600,0,1,NA,NA,NA,NA,NA,9.0982,12.8254,NA,NA,NA,NA,NA,NA,NA,NA,-7604262.1146,86275300
"12",2004-09-03,100.95,101.74,99.32,100.01,50.1598,5152400,0,1,NA,NA,NA,NA,NA,11.0854,16.4553,NA,NA,NA,NA,NA,NA,NA,NA,-9818516.66,81122900
"13",2004-09-07,101.01,102,99.61,101.58,50.9473,5847500,0,1,NA,NA,NA,NA,NA,20.6748,32.7438,NA,NA,NA,NA,NA,NA,NA,NA,-6026204.9445,86970400
"14",2004-09-08,100.74,103.03,100.5,102.3,51.3084,4985600,0,1,NA,NA,NA,NA,NA,33.4923,51.2778,NA,NA,NA,NA,NA,NA,NA,NA,-3917670.5572,91956000
"15",2004-09-09,102.5,102.71,101,102.31,51.3134,4061700,0,1,NA,NA,NA,NA,NA,52.4398,73.2979,NA,NA,NA,NA,NA,NA,NA,NA,-1756181.0835,96017700
"16",2004-09-10,101.47,106.56,101.3,105.33,52.8281,8698800,0,1,NA,NA,NA,NA,NA,69.0317,82.5196,NA,NA,NA,NA,NA,NA,NA,NA,2874358.8404,104716500
"17",2004-09-13,106.63,108.41,106.46,107.5,53.9164,7844100,0,1,NA,NA,NA,NA,NA,80.2798,85.0221,NA,NA,NA,NA,NA,NA,NA,NA,3397298.8404,112560600
"18",2004-09-14,107.44,112,106.79,111.49,55.9176,10828900,0,1,NA,NA,NA,NA,NA,85.6511,89.4118,NA,NA,NA,NA,NA,NA,NA,NA,12106145.4815,123389500
"19",2004-09-15,110.56,114.23,110.2,112,56.1734,10713000,0,1,NA,NA,NA,NA,NA,87.9634,89.4562,NA,NA,NA,NA,NA,NA,NA,NA,10963071.0398,134102500
"20",2004-09-16,112.34,115.8,111.65,113.97,57.1615,9266300,0,1,NA,NA,NA,NA,NA,89.1881,88.6963,NA,NA,NA,NA,NA,NA,NA,NA,12057164.2928,143368800
"21",2004-09-17,114.42,117.49,113.55,117.49,58.9269,9472500,0,1,NA,NA,NA,NA,NA,89.4424,90.1746,NA,NA,NA,NA,NA,NA,NA,NA,21529664.2928,152841300
"22",2004-09-20,116.95,121.6,116.77,119.36,59.8648,10628700,0,1,NA,NA,NA,NA,NA,89.8741,90.7515,NA,NA,NA,NA,NA,NA,NA,NA,22299859.945,163470000
"23",2004-09-21,120.2,120.42,117.51,117.84,59.1024,7228700,0,1,NA,NA,NA,NA,NA,88.2967,83.9642,NA,NA,NA,NA,NA,NA,NA,NA,16710658.9141,156241300
"24",2004-09-22,117.45,119.67,116.81,118.38,59.3733,7581200,0,1,NA,NA,NA,NA,NA,82.6309,73.1769,NA,NA,NA,NA,NA,NA,NA,NA,17452874.2987,163822500
"25",2004-09-23,118.84,122.63,117.02,120.82,60.5971,8535600,0,1,NA,NA,NA,NA,NA,76.2384,71.5739,NA,NA,NA,NA,NA,NA,NA,NA,20480653.9779,172358100
"26",2004-09-24,120.97,124.1,119.76,119.83,60.1005,9123400,0,1,NA,NA,NA,NA,NA,69.3004,63.1502,NA,NA,NA,NA,NA,NA,NA,NA,11651557.2037,163234700
"27",2004-09-27,119.56,120.88,117.8,118.26,59.3131,7066100,0,1,NA,NA,NA,NA,NA,60.6528,47.2342,NA,NA,NA,NA,NA,NA,NA,NA,6696110.4504,156168600
"28",2004-09-28,121.15,127.4,120.21,126.86,63.6264,16929000,0,1,NA,NA,NA,NA,NA,54.1878,52.1791,NA,NA,NA,NA,NA,NA,NA,NA,21082228.6702,173097600
"29",2004-09-29,126.53,135.02,126.23,131.08,65.7429,30516400,0,1,NA,NA,NA,NA,NA,54.5714,64.3007,NA,NA,NA,NA,NA,NA,NA,NA,24241491.9239,203614000
"30",2004-09-30,129.899,132.3,129,129.6,65.0007,13758000,0,1,NA,NA,NA,NA,NA,65.6641,80.5123,NA,NA,NA,NA,NA,NA,NA,NA,15486401.0148,189856000
"31",2004-10-01,130.8,134.24,128.9,132.58,66.4953,15124800,0,1,NA,NA,NA,NA,NA,74.1006,77.4888,NA,NA,NA,NA,NA,NA,NA,NA,21207767.3069,204980800
"32",2004-10-04,135.275,136.87,134.03,135.06,67.7391,13022700,0,1,NA,NA,NA,NA,NA,79.7216,81.1637,NA,NA,NA,NA,NA,NA,NA,NA,17631110.2646,218003500
"33",2004-10-05,134.66,138.53,132.24,138.37,69.3992,14973200,0,1,NA,NA,NA,NA,NA,83.2914,91.2218,NA,NA,NA,NA,NA,NA,NA,NA,31842557.6414,232976700
"34",2004-10-06,137.67,138.45,136,137.08,68.7522,13381400,0,1,NA,NA,8.738,1.7104,7.0276,87.7705,90.9259,NA,NA,NA,NA,NA,NA,NA,NA,30258636.8251,219595300
"35",2004-10-07,136.56,139.88,136.55,138.85,69.64,14115000,0,1,NA,NA,8.9533,1.5405,7.4127,91.1894,91.4205,NA,NA,NA,NA,NA,NA,NA,NA,35641835.0233,233710300
"36",2004-10-08,138.73,139.68,137.02,137.73,69.0782,11069500,0,1,NA,NA,8.9305,1.2142,7.7163,88.2733,82.4736,NA,NA,NA,NA,NA,NA,NA,NA,30481616.9782,222640800
"37",2004-10-11,137.01,138.86,133.85,135.26,67.8394,10472100,0,1,NA,NA,8.6139,0.7181,7.8958,80.4099,67.3356,NA,NA,NA,NA,NA,NA,NA,NA,25903992.4273,212168700
"38",2004-10-12,134.49,137.61,133.4,137.4,68.9127,11665500,0,1,NA,NA,8.4384,0.4341,8.0043,69.1715,57.7053,NA,NA,NA,NA,NA,NA,NA,NA,36405713.3299,223834200
