"","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"1",2000-03-20,63.5,64.5,62.38,64.19,64.19,5813500,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4113325.4717,5813500
"2",2000-03-21,65.13,73,62.25,72.38,72.38,17082900,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19225732.8205,22896400
"3",2000-03-22,70.88,74,69.25,70.69,70.69,11566400,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14672223.7679,11330000
"4",2000-03-23,69.5,70.94,67.5,67.69,67.69,5442100,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9831285.9772,5887900
"5",2000-03-24,67.69,67.69,67.69,67.69,67.69,9746000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9831285.9772,5887900
"6",2000-03-27,72.25,75.13,71.75,73.13,73.13,4748600,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8960241.0068,10636500
"7",2000-03-28,72.38,72.75,69.47,70.13,70.13,5197600,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5854358.08,5438900
"8",2000-03-29,69.5,69.88,65,66.25,66.25,5886500,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2983483.08,-447600
"9",2000-03-30,64.5,67.38,64,66.5,66.5,5034000,0,1,NA,NA,NA,NA,NA,40.6434,23.0902,NA,NA,NA,NA,NA,NA,NA,NA,5396228.6421,4586400
"10",2000-03-31,66.75,67.13,63,67,67,5115500,0,1,NA,NA,NA,NA,NA,29.8143,22.5925,NA,NA,NA,NA,NA,NA,NA,NA,10189687.4799,9701900
"11",2000-04-03,65.44,65.69,62,63.56,63.56,4865400,0,1,NA,NA,NA,NA,NA,22.9997,23.3165,NA,NA,NA,NA,NA,NA,NA,NA,9438121.6262,4836500
"12",2000-04-04,62.88,65.44,55.75,63.94,63.94,14318000,0,1,NA,NA,NA,NA,NA,27.0196,35.1498,NA,NA,NA,NA,NA,NA,NA,NA,19323304.2887,19154500
"13",2000-04-05,61.75,64.94,60.5,62.19,62.19,4900000,0,1,NA,NA,NA,NA,NA,33.6941,42.6158,NA,NA,NA,NA,NA,NA,NA,NA,18153484.4689,14254500
"14",2000-04-06,63.44,65.5,61.88,64.25,64.25,6032700,0,1,NA,NA,NA,NA,NA,46.8139,62.6761,NA,NA,NA,NA,NA,NA,NA,NA,20019955.1872,20287200
"15",2000-04-07,65.13,68.63,64.13,67.56,67.56,6052300,0,1,NA,NA,NA,NA,NA,59.7372,73.9197,NA,NA,NA,NA,NA,NA,NA,NA,23194050.2983,26339500
"16",2000-04-10,67.25,68.44,63.25,63.38,63.38,4523600,0,1,NA,NA,NA,NA,NA,70.6013,75.208,NA,NA,NA,NA,NA,NA,NA,NA,18897066.0979,21815900
"17",2000-04-11,62.5,66,61.25,63.38,63.38,4706600,0,1,NA,NA,NA,NA,NA,70.4155,62.1187,NA,NA,NA,NA,NA,NA,NA,NA,18411543.1505,21815900
