"","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"1",2000-03-20,123.5,126.25,122.37,123,3.8126,1825800,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1232885.567,1825800
"2",2000-03-21,122.56,136.75,121.62,134.94,4.1827,4681500,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2328519.9188,6507300
"3",2000-03-22,132.78,144.38,131.56,144.19,4.4695,5071400,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7249597.6099,11578700
"4",2000-03-23,142,150.38,140,141.31,4.3802,5022900,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3494520.1532,6555800
"5",2000-03-24,142.44,143.94,135.5,138.69,4.299,3990300,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2520584.3712,2565500
"6",2000-03-27,137.63,144.75,136.88,139.56,4.3259,2492700,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1725580.9405,5058200
"7",2000-03-28,137.25,142,137.13,139.13,4.3126,1812200,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1401840.8994,3246000
"8",2000-03-29,139.38,139.44,133.83,135.94,4.2137,2141400,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871262.2898,1104600
"9",2000-03-30,133.56,137.69,125.44,125.75,3.8979,3700000,0,1,NA,NA,NA,NA,NA,36.8759,18.1926,NA,NA,NA,NA,NA,NA,NA,NA,-2641472.4041,-2595400
"10",2000-03-31,127.44,137.25,126,135.81,4.2097,3612800,0,1,NA,NA,NA,NA,NA,26.4429,22.6858,NA,NA,NA,NA,NA,NA,NA,NA,46450.7959,1017400
"11",2000-04-03,135.5,139.5,129.44,133.31,4.1322,2933600,0,1,NA,NA,NA,NA,NA,25.0519,34.2774,NA,NA,NA,NA,NA,NA,NA,NA,-630085.1882,-1916200
"12",2000-04-04,132.63,133,116.75,127.31,3.9462,5895800,0,1,NA,NA,NA,NA,NA,35.3927,49.2148,NA,NA,NA,NA,NA,NA,NA,NA,1136840.7195,-7812000
"13",2000-04-05,126.47,132.88,124,130.38,4.0414,4086300,0,1,NA,NA,NA,NA,NA,44.9256,51.2846,NA,NA,NA,NA,NA,NA,NA,NA,2922296.1249,-3725700
"14",2000-04-06,130.63,134.5,123.25,125.19,3.8805,2318100,0,1,NA,NA,NA,NA,NA,49.4363,47.8095,NA,NA,NA,NA,NA,NA,NA,NA,1403683.0583,-6043800
"15",2000-04-07,127.25,131.88,125.5,131.75,4.0839,2164600,0,1,NA,NA,NA,NA,NA,51.1364,54.315,NA,NA,NA,NA,NA,NA,NA,NA,3480070.5191,-3879200
"16",2000-04-10,131.69,132.75,124.75,125,3.8746,1895200,0,1,NA,NA,NA,NA,NA,50.6539,49.8373,NA,NA,NA,NA,NA,NA,NA,NA,1703320.5191,-5774400
