"","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"1",2000-03-20,37.81,39.5,37.69,39.44,30.673,16990800,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15864338.1215,16990800
"2",2000-03-21,39.5,40.06,38.63,39.19,30.4786,13366200,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12966770.2894,3624600
"3",2000-03-22,39.94,41.44,39.75,40.5,31.4974,13730100,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11423149.5793,17354700
"4",2000-03-23,39.88,41.94,39.81,41.56,32.3218,8166300,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16675652.3962,25521000
"5",2000-03-24,41.56,41.75,41.06,41.44,32.2285,6632400,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17348504.5701,18888600
"6",2000-03-27,41.5,42.19,40,41.75,32.4696,5799400,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20817552.0587,24688000
"7",2000-03-28,41.25,42.5,40.63,40.94,31.8396,7594900,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15740747.2459,17093100
"8",2000-03-29,41,41.19,40.25,40.81,31.7385,5164000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16729598.3097,11929100
"9",2000-03-30,40,41,39.75,40.25,31.303,5420300,0,1,NA,NA,NA,NA,NA,53.9851,32.8764,NA,NA,NA,NA,NA,NA,NA,NA,15645538.3097,6508800
"10",2000-03-31,41.5,41.5,40.25,41.25,32.0807,5359900,0,1,NA,NA,NA,NA,NA,41.8466,36.634,NA,NA,NA,NA,NA,NA,NA,NA,18861478.3097,11868700
"11",2000-04-03,41.44,41.88,41.06,41.81,32.5162,4872100,0,1,NA,NA,NA,NA,NA,39.5742,49.2121,NA,NA,NA,NA,NA,NA,NA,NA,22901756.3585,16740800
"12",2000-04-04,41.75,41.94,38.38,41.13,31.9874,7052100,0,1,NA,NA,NA,NA,NA,51.5822,68.9006,NA,NA,NA,NA,NA,NA,NA,NA,26744754.6731,9688700
"13",2000-04-05,40.13,40.75,39.25,40,31.1086,5141700,0,1,NA,NA,NA,NA,NA,61.3333,65.8873,NA,NA,NA,NA,NA,NA,NA,NA,26744754.6731,4547000
"14",2000-04-06,40.38,41.25,40,40.44,31.4508,3616600,0,1,NA,NA,NA,NA,NA,64.998,60.206,NA,NA,NA,NA,NA,NA,NA,NA,25674241.0731,8163600
"15",2000-04-07,40.94,41.38,40.5,41,31.8863,3299000,0,1,NA,NA,NA,NA,NA,61.694,58.9888,NA,NA,NA,NA,NA,NA,NA,NA,26124104.7095,11462600
"16",2000-04-10,40.75,41.38,40.31,41.31,32.1274,3666700,0,1,NA,NA,NA,NA,NA,63.4831,71.2547,NA,NA,NA,NA,NA,NA,NA,NA,29311049.5693,15129300
"17",2000-04-11,41.94,42.5,41.75,42.5,33.0529,6925500,0,1,NA,NA,NA,NA,NA,71.8477,85.2996,NA,NA,NA,NA,NA,NA,NA,NA,36236549.5693,22054800
"18",2000-04-12,42.63,43.63,40,40.06,31.1552,8416900,0,1,NA,NA,NA,NA,NA,72.6244,61.3188,NA,NA,NA,NA,NA,NA,NA,NA,28097894.1974,13637900
"19",2000-04-13,40.75,40.75,39.25,39.25,30.5253,5080000,0,1,NA,NA,NA,NA,NA,60.1676,33.8843,NA,NA,NA,NA,NA,NA,NA,NA,23017894.1974,8557900
"20",2000-04-14,38.75,39.5,37.69,38.88,30.2375,8250800,0,1,NA,NA,NA,NA,NA,34.144,7.2289,NA,NA,NA,NA,NA,NA,NA,NA,25616212.4294,307100
"21",2000-04-17,37.5,38.75,37.06,38.75,30.1364,6539200,0,1,NA,NA,NA,NA,NA,18.7885,15.2522,NA,NA,NA,NA,NA,NA,NA,NA,32155412.4294,-6232100
"22",2000-04-18,38.5,39.75,38,39.5,30.7197,4276800,0,1,NA,NA,NA,NA,NA,16.7043,27.6317,NA,NA,NA,NA,NA,NA,NA,NA,35210269.5723,-1955300
"23",2000-04-19,40.69,41.5,40,40.94,31.8396,8581800,0,1,NA,NA,NA,NA,NA,30.989,50.083,NA,NA,NA,NA,NA,NA,NA,NA,37384325.5723,6626500
"24",2000-04-20,41.13,42.5,40.81,42.25,32.8584,5440500,0,1,NA,NA,NA,NA,NA,50.3416,73.3101,NA,NA,NA,NA,NA,NA,NA,NA,41215210.1877,12067000
"25",2000-04-24,41.13,41.44,40.13,40.25,31.303,3845300,0,1,NA,NA,NA,NA,NA,67.9567,80.4772,NA,NA,NA,NA,NA,NA,NA,NA,38074392.6304,8221700
"26",2000-04-25,40.56,40.56,39.69,40.5,31.4974,3750500,0,1,NA,NA,NA,NA,NA,74.5513,69.8666,NA,NA,NA,NA,NA,NA,NA,NA,41307582.2856,11972200
"27",2000-04-26,41,42.5,40.75,42.38,32.9595,6004500,0,1,NA,NA,NA,NA,NA,73.4396,69.9749,NA,NA,NA,NA,NA,NA,NA,NA,46488607.9999,17976700
"28",2000-04-27,41,42.25,40.88,41.63,32.3762,4676200,0,1,NA,NA,NA,NA,NA,71.0943,73.4414,NA,NA,NA,NA,NA,NA,NA,NA,46932335.0072,13300500
"29",2000-04-28,42.5,43.63,42.25,43.63,33.9317,11734900,0,1,NA,NA,NA,NA,NA,77.2242,88.2562,NA,NA,NA,NA,NA,NA,NA,NA,58667235.0072,25035400
"30",2000-05-01,43.56,43.88,42,42,32.664,8921900,0,1,NA,NA,NA,NA,NA,78.807,74.7235,NA,NA,NA,NA,NA,NA,NA,NA,49745335.0072,16113500
"31",2000-05-02,41.5,43.06,40.31,43,33.4417,9299400,0,1,NA,NA,NA,NA,NA,79.9356,76.8271,NA,NA,NA,NA,NA,NA,NA,NA,58638943.0072,25412900
"32",2000-05-03,41.06,42,39.63,41.25,32.0807,6515700,0,1,NA,NA,NA,NA,NA,69.2501,56.1997,NA,NA,NA,NA,NA,NA,NA,NA,61030782.2477,18897200
"33",2000-05-04,41.88,41.94,39.38,39.69,30.8675,7129600,0,1,NA,NA,NA,NA,NA,57.7152,40.1189,NA,NA,NA,NA,NA,NA,NA,NA,55627882.2477,11767600
"34",2000-05-05,39.63,40.44,39.25,39.56,30.7664,3472400,0,1,NA,NA,0.0296,-0.1359,0.1655,37.8509,17.234,NA,NA,NA,NA,NA,NA,NA,NA,53964631.8275,8295200
"35",2000-05-08,39.63,41.13,39.56,40.56,31.5441,3583300,0,1,NA,NA,-0.01,-0.1404,0.1304,24.4474,15.9892,NA,NA,NA,NA,NA,NA,NA,NA,54946045.2033,11878500
"36",2000-05-09,40.81,41.63,39.75,40.75,31.6919,3408100,0,1,NA,NA,-0.0257,-0.1249,0.0992,21.6993,31.8747,NA,NA,NA,NA,NA,NA,NA,NA,55163583.5012,15286600
"37",2000-05-10,40.63,41.75,40.5,41.06,31.9329,6371800,0,1,NA,NA,-0.013,-0.0898,0.0768,33.3118,52.0716,NA,NA,NA,NA,NA,NA,NA,NA,54500916.3012,21658400
"38",2000-05-11,41.13,41.38,40.56,41.13,31.9874,3335500,0,1,NA,NA,0.0027,-0.0593,0.0619,49.8745,65.6772,NA,NA,NA,NA,NA,NA,NA,NA,55802574.8378,24993900
"39",2000-05-12,41.06,41.38,40.06,40.81,31.7385,3105500,0,1,NA,NA,-0.0106,-0.058,0.0474,61.4234,66.5213,NA,NA,NA,NA,NA,NA,NA,NA,56226052.1105,21888400
"40",2000-05-15,40.69,41.13,40.19,40.81,31.7385,3893200,0,1,NA,NA,-0.0209,-0.0547,0.0338,64.6526,61.7592,NA,NA,NA,NA,NA,NA,NA,NA,57468562.7488,21888400
"41",2000-05-16,41.44,42.63,41.25,42.19,32.8118,5940600,0,1,NA,NA,0.0814,0.0381,0.0433,64.1998,64.319,NA,NA,NA,NA,NA,NA,NA,NA,59620954.0531,27829000
"42",2000-05-17,42.44,42.88,42.06,42.25,32.8584,4091000,0,1,NA,NA,0.1654,0.0977,0.0677,65.7526,71.1797,NA,NA,NA,NA,NA,NA,NA,NA,57425783.3214,31920000
"43",2000-05-18,42.5,42.81,41,41.19,32.034,4394900,0,1,NA,NA,0.1447,0.0616,0.0831,67.4562,66.87,NA,NA,NA,NA,NA,NA,NA,NA,53953569.5093,27525100
"44",2000-05-19,40,41.25,39.75,41.06,31.9329,4462700,0,1,NA,NA,0.1165,0.0267,0.0898,63.748,53.1945,NA,NA,NA,NA,NA,NA,NA,NA,57285718.8426,23062400
"45",2000-05-22,41.19,41.5,40,40.88,31.793,4201800,0,1,NA,NA,0.0787,-0.0088,0.0876,53.1355,39.3421,NA,NA,NA,NA,NA,NA,NA,NA,58014030.8426,18860600
"46",2000-05-23,39.75,40.69,39.75,40.31,31.3497,4225700,0,1,NA,NA,0.0028,-0.0678,0.0706,41.4952,31.9489,NA,NA,NA,NA,NA,NA,NA,NA,58823207.4384,14634900
"47",2000-05-24,40,40.81,38.19,39.31,30.5719,4407200,0,1,NA,NA,-0.1365,-0.1657,0.0292,32.4565,26.0787,NA,NA,NA,NA,NA,NA,NA,NA,58183995.2246,10227700
"48",2000-05-25,39.31,40.44,39.06,39.81,30.9608,3920200,0,1,NA,NA,-0.2042,-0.1867,-0.0175,29.4621,30.3588,NA,NA,NA,NA,NA,NA,NA,NA,58524882.1811,14147900
"49",2000-05-26,39.94,40.19,39.25,39.88,31.0152,3369200,0,1,NA,NA,-0.2494,-0.1855,-0.0639,32.6172,41.4141,NA,NA,NA,NA,NA,NA,NA,NA,59671843.8833,17517100
"50",2000-05-30,40.88,42,40.63,41.88,32.5707,7349000,0,1,NA,NA,-0.1224,-0.0468,-0.0756,45.7966,65.6168,NA,NA,NA,NA,NA,NA,NA,NA,65733427.8249,24866100
"51",2000-05-31,41.94,43.19,41.69,41.81,32.5162,5182500,0,1,NA,NA,-0.027,0.0388,-0.0659,60.1556,73.4359,NA,NA,NA,NA,NA,NA,NA,NA,61380127.8249,19683600
"52",2000-06-01,42.44,42.56,41.13,41.75,32.4696,3899700,0,1,NA,NA,0.0432,0.0872,-0.0441,72.3935,78.1279,NA,NA,NA,NA,NA,NA,NA,NA,60861985.8668,15783900
"53",2000-06-02,41.94,42,40.25,40.44,31.4508,5838700,0,1,NA,NA,-0.0068,0.0298,-0.0366,69.1586,55.9121,NA,NA,NA,NA,NA,NA,NA,NA,56291117.8668,9945200
"54",2000-06-05,40.5,41,40,40.63,31.5985,4220200,0,1,NA,NA,-0.0307,0.0047,-0.0354,57.4672,38.3618,NA,NA,NA,NA,NA,NA,NA,NA,57388369.8668,14165400
"55",2000-06-06,40.5,41.56,40.44,40.88,31.793,3843100,0,1,NA,NA,-0.0292,0.005,-0.0342,40.04,25.8462,NA,NA,NA,NA,NA,NA,NA,NA,56564848.4383,18008500
"56",2000-06-07,40.81,40.94,40.13,40.19,31.2563,3374600,0,1,NA,NA,-0.0827,-0.0388,-0.0439,27.4868,18.2524,NA,NA,NA,NA,NA,NA,NA,NA,53690189.179,14633900
"57",2000-06-08,40.44,41.13,40.13,40.44,31.4508,3074300,0,1,NA,NA,-0.1037,-0.0479,-0.0559,21.0338,19.0027,NA,NA,NA,NA,NA,NA,NA,NA,52521955.179,17708200
"58",2000-06-09,40.5,42,40.5,41.56,32.3218,4018700,0,1,NA,NA,-0.0297,0.0209,-0.0506,24.3541,35.8073,NA,NA,NA,NA,NA,NA,NA,NA,54183017.8457,21726900
"59",2000-06-12,41.31,41.69,40.38,40.71,31.6607,3475500,0,1,NA,NA,-0.0391,0.0092,-0.0483,32.8273,43.672,NA,NA,NA,NA,NA,NA,NA,NA,52458533.1128,18251400
"60",2000-06-13,41.5,41.5,40.19,40.19,31.2563,5001900,0,1,40.8553,40.8553,-0.0876,-0.0314,-0.0562,38.9625,37.4082,NA,3.3562,-17.7481,NA,NA,38.8414,40.8553,42.8693,47456633.1128,13249500
"61",2000-06-14,40.75,41.06,40.44,40.75,31.6919,2942000,0,1,40.8772,40.8519,-0.0798,-0.0189,-0.0609,34.5134,22.4599,51.445,3.2881,-9.6147,33.3333,48.3333,38.897,40.8772,42.8574,47456633.1128,16191500
"62",2000-06-15,41,42,40.88,42,32.664,4223500,0,1,40.924,40.8895,0.0268,0.0702,-0.0434,35.1075,45.4545,52.7694,3.3854,72.8015,31.6667,46.6667,38.9729,40.924,42.8751,51680133.1128,20415000
"63",2000-06-16,42,42.25,41.06,41.19,32.034,4975000,0,1,40.9355,40.8994,0.0455,0.0711,-0.0256,42.8269,60.5663,51.8376,3.5214,58.385,30,45,38.9864,40.9355,42.8846,47792107.9028,15440000
"64",2000-06-19,41.31,42,41.13,41.94,32.6173,2712800,0,1,40.9418,40.9335,0.1194,0.116,0.0034,61.2842,77.8317,52.6253,3.6529,74.9598,28.3333,43.3333,38.9822,40.9418,42.9014,50130728.5924,18152800
"65",2000-06-20,41.94,42.06,41.56,41.75,32.4696,3296900,0,1,40.947,40.9603,0.1608,0.1259,0.0349,69.0072,68.6236,52.4045,3.7907,83.2642,26.6667,41.6667,38.9806,40.947,42.9134,49339472.5924,14855900
