"","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"1",2000-01-03,11501.8496,11522.0098,11305.6904,11357.5098,11357.5098,169750000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88422713.6958,169750000
"2",2000-01-04,11349.75,11350.0596,10986.4502,10997.9297,10997.9297,178420000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-255576936.2881,-8670000
"3",2000-01-05,10989.3701,11215.0996,10938.6699,11122.6504,11122.6504,203190000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-188296771.5108,194520000
"4",2000-01-06,11113.3701,11313.4502,11098.4502,11253.2598,11253.2598,176550000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-110599052.8127,371070000
"5",2000-01-07,11247.0596,11528.1396,11239.9199,11522.5596,11522.5596,184900000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67141434.294,555970000
"6",2000-01-10,11532.4805,11638.2803,11532.4805,11572.2002,11572.2002,168180000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25238861.3993,724150000
"7",2000-01-11,11568.4697,11663.0996,11502.7002,11511.0801,11511.0801,177300000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-133535469.2251,546850000
"8",2000-01-12,11506.7305,11612.5303,11505.1797,11551.0996,11551.0996,194060000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-161574578.5284,740910000
"9",2000-01-13,11558.2402,11656.5801,11524.1104,11582.4297,11582.4297,174910000,0,1,NA,NA,NA,NA,NA,84.275,80.0391,NA,NA,NA,NA,NA,NA,NA,NA,-182477540.5768,915820000
"10",2000-01-14,11619.3496,11750.2803,11612.5303,11722.9805,11722.9805,266830000,0,1,NA,NA,NA,NA,NA,82.2141,83.3584,NA,NA,NA,NA,NA,NA,NA,NA,-21410251.3037,1182650000
"11",2000-01-18,11719.1904,11720.1201,11546.4502,11560.7197,11560.7197,200220000,0,1,NA,NA,NA,NA,NA,75.9486,64.4484,NA,NA,NA,NA,NA,NA,NA,NA,-188728230.4571,982430000
"12",2000-01-19,11535.2402,11574.6797,11456.0098,11489.3604,11489.3604,193090000,0,1,NA,NA,NA,NA,NA,63.018,41.2471,NA,NA,NA,NA,NA,NA,NA,NA,-273287533.8457,789340000
"13",2000-01-20,11490.29,11558.7002,11274.9805,11351.2998,11351.2998,191230000,0,1,NA,NA,NA,NA,NA,40.8791,16.9417,NA,NA,NA,NA,NA,NA,NA,NA,-361637506.228,598110000
"14",2000-01-21,11356.2598,11387.5996,11232.4805,11251.71,11251.71,205840000,0,1,NA,NA,NA,NA,NA,22.8523,10.368,NA,NA,NA,NA,NA,NA,NA,NA,-516443202.7464,392270000
"15",2000-01-24,11251.9404,11366.5,10917.2695,11008.1699,11008.1699,202740000,0,1,NA,NA,NA,NA,NA,12.558,10.3643,NA,NA,NA,NA,NA,NA,NA,NA,-637135583.348,189530000
"16",2000-01-25,11010.96,11079.5195,10883.4502,11029.8896,11029.8896,209230000,0,1,NA,NA,NA,NA,NA,10.9354,12.0738,NA,NA,NA,NA,NA,NA,NA,NA,-533827912.9885,398760000
"17",2000-01-26,11025.8496,11131.0303,11002.5801,11032.9902,11032.9902,188840000,0,1,NA,NA,NA,NA,NA,13.552,18.2178,NA,NA,NA,NA,NA,NA,NA,NA,-633253430.4486,587600000
"18",2000-01-27,11035.5498,11164.1396,10915.4004,11028.0195,11028.0195,194280000,0,1,NA,NA,NA,NA,NA,18.098,24.0024,NA,NA,NA,NA,NA,NA,NA,NA,-651609076.7049,393320000
"19",2000-01-28,11024.9199,11024.9199,10735.7695,10738.8701,10738.8701,183090000,0,1,NA,NA,NA,NA,NA,19.7749,17.1045,NA,NA,NA,NA,NA,NA,NA,NA,-830772495.186,210230000
"20",2000-01-31,10735.7695,10956.6699,10701.6396,10940.5303,10940.5303,191880000,0,1,NA,NA,NA,NA,NA,22.6822,26.9398,NA,NA,NA,NA,NA,NA,NA,NA,-663178834.2276,402110000
"21",2000-02-01,10937.7402,11073.3203,10907.96,11041.0498,11041.0498,183110000,0,1,NA,NA,NA,NA,NA,28.6292,41.8432,NA,NA,NA,NA,NA,NA,NA,NA,-551537631.2931,585220000
"22",2000-02-02,11037.6396,11118.9297,10987.0703,11003.2002,11003.2002,164170000,0,1,NA,NA,NA,NA,NA,44.0655,63.4134,NA,NA,NA,NA,NA,NA,NA,NA,-675542982.7356,421050000
