"","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"1",2012-05-18,42.05,45,38,38.2318,38.2318,573576400,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-535589254.4229,573576400
"2",2012-05-21,36.53,36.66,33,34.03,34.03,168192700,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-609116117.8108,405383700
"3",2012-05-22,32.61,33.59,30.94,31,31,101786600,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-706293513.2825,303597100
"4",2012-05-23,31.37,32.5,31.36,32,32,73600000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-697254916.7913,377197100
"5",2012-05-24,32.95,33.21,31.77,33.03,33.03,50237200,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-659577016.7913,427434300
"6",2012-05-25,32.9,32.95,31.11,31.91,31.91,37149800,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-664422642.8783,390284500
"7",2012-05-29,31.48,31.69,28.65,28.84,28.84,78063400,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-732728117.8783,312221100
"8",2012-05-30,28.695,29.55,27.86,28.19,28.19,57267900,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-767631039.18,254953200
"9",2012-05-31,28.545,29.67,26.83,29.6,29.6,111639200,0,1,NA,NA,NA,NA,NA,12.897,17.8104,NA,NA,NA,NA,NA,NA,NA,NA,-661495180.0251,366592400
"10",2012-06-01,28.892,29.15,27.39,27.72,27.72,41855500,0,1,NA,NA,NA,NA,NA,16.059,21.3759,NA,NA,NA,NA,NA,NA,NA,NA,-687654867.5251,324736900
"11",2012-06-04,27.2,27.65,26.44,26.9,26.9,35230300,0,1,NA,NA,NA,NA,NA,20.4756,22.2404,NA,NA,NA,NA,NA,NA,NA,NA,-696098493.1449,289506600
"12",2012-06-05,26.7,27.76,25.75,25.869,25.869,42473400,0,1,NA,NA,NA,NA,NA,17.4655,8.78,NA,NA,NA,NA,NA,NA,NA,NA,-733542704.4882,247033200
"13",2012-06-06,26.07,27.17,25.52,26.81,26.81,61489200,0,1,NA,NA,NA,NA,NA,15.1048,14.294,NA,NA,NA,NA,NA,NA,NA,NA,-698885155.3973,308522400
"14",2012-06-07,27,27.35,26.15,26.31,26.31,26159500,0,1,NA,NA,NA,NA,NA,13.9006,18.6277,NA,NA,NA,NA,NA,NA,NA,NA,-718068788.7306,282362900
"15",2012-06-08,26.55,27.76,26.44,27.1,27.1,38034000,0,1,NA,NA,NA,NA,NA,24.6831,41.1277,NA,NA,NA,NA,NA,NA,NA,NA,-718068788.7306,320396900
"16",2012-06-11,27.18,28.07,26.835,27.005,27.005,28219600,0,1,NA,NA,NA,NA,NA,36.6445,50.178,NA,NA,NA,NA,NA,NA,NA,NA,-738519430.0262,292177300
"17",2012-06-12,27.48,27.77,26.96,27.4,27.4,15816800,0,1,NA,NA,NA,NA,NA,52.9349,67.4988,NA,NA,NA,NA,NA,NA,NA,NA,-737152546.0756,307994100
"18",2012-06-13,27.66,28.1,27.1,27.27,27.27,17102800,0,1,NA,NA,NA,NA,NA,60.2697,63.1322,NA,NA,NA,NA,NA,NA,NA,NA,-748440394.0756,290891300
"19",2012-06-14,27.65,28.32,27.38,28.29,28.29,16855000,0,1,NA,NA,NA,NA,NA,69.051,76.5219,NA,NA,NA,NA,NA,NA,NA,NA,-732661245.1394,307746300
"20",2012-06-15,28.505,30.1,28.35,30.014,30.014,43563800,0,1,NA,NA,NA,NA,NA,74.6854,84.4021,NA,NA,NA,NA,NA,NA,NA,NA,-693379144.3394,351310100
"21",2012-06-18,29.955,32.08,29.41,31.41,31.41,42978900,0,1,NA,NA,NA,NA,NA,85.0507,94.2281,NA,NA,NA,NA,NA,NA,NA,NA,-671970179.1709,394289000
"22",2012-06-19,31.535,32.18,30.7,31.911,31.911,30849000,0,1,NA,NA,NA,NA,NA,90.5417,92.9949,NA,NA,NA,NA,NA,NA,NA,NA,-652335207.5492,425138000
"23",2012-06-20,31.92,31.9288,31.15,31.6,31.6,15553600,0,1,NA,NA,NA,NA,NA,92.3561,89.8452,NA,NA,NA,NA,NA,NA,NA,NA,-649914693.5277,409584400
"24",2012-06-21,31.67,32.5,31.51,31.84,31.84,21875300,0,1,NA,NA,NA,NA,NA,90.582,88.9059,NA,NA,NA,NA,NA,NA,NA,NA,-657206460.1943,431459700
"25",2012-06-22,32.41,33.45,32.06,33.05,33.05,74834000,0,1,NA,NA,NA,NA,NA,88.7073,87.3707,NA,NA,NA,NA,NA,NA,NA,NA,-625442388.2519,506293700
"26",2012-06-25,32.86,33.02,31.55,32.06,32.06,24352900,0,1,NA,NA,NA,NA,NA,83.6089,74.55,NA,NA,NA,NA,NA,NA,NA,NA,-632897357.6397,481940800
"27",2012-06-26,32.69,33.44,32.5,33.1,33.1,24858700,0,1,NA,NA,NA,NA,NA,78.8998,74.7787,NA,NA,NA,NA,NA,NA,NA,NA,-626021547.0014,506799500
"28",2012-06-27,32.46,32.9,31.9,32.23,32.23,28568000,0,1,NA,NA,NA,NA,NA,68.8152,57.1169,NA,NA,NA,NA,NA,NA,NA,NA,-635734667.0014,478231500
"29",2012-06-28,31.96,32.19,30.9,31.36,31.36,17713300,0,1,NA,NA,NA,NA,NA,59.5135,46.6451,NA,NA,NA,NA,NA,NA,NA,NA,-640815225.9161,460518200
"30",2012-06-29,31.92,31.99,30.76,31.095,31.095,19526900,0,1,NA,NA,NA,NA,NA,42.1043,22.5509,NA,NA,NA,NA,NA,NA,NA,NA,-649705521.851,440991300
"31",2012-07-02,31.25,31.73,30.55,30.771,30.771,14122000,0,1,NA,NA,NA,NA,NA,27.3082,12.7288,NA,NA,NA,NA,NA,NA,NA,NA,-658537755.7493,426869300
"32",2012-07-03,30.91,31.44,30.8,31.2,31.2,8763600,0,1,NA,NA,NA,NA,NA,17.0717,15.9355,NA,NA,NA,NA,NA,NA,NA,NA,-656346855.7493,435632900
"33",2012-07-05,31.32,31.625,31.02,31.47,31.47,10032100,0,1,NA,NA,NA,NA,NA,19.7108,30.4681,NA,NA,NA,NA,NA,NA,NA,NA,-651455170.6254,445665000
"34",2012-07-06,31.44,31.9,31.26,31.73,31.73,10945600,0,1,NA,NA,0.3856,0.1016,0.284,33.8792,55.2339,NA,NA,NA,NA,NA,NA,NA,NA,-646324420.6254,456610600
"35",2012-07-09,32.1,32.88,31.99,32.17,32.17,17785200,0,1,NA,NA,0.4432,0.1274,0.3158,51.6306,69.19,NA,NA,NA,NA,NA,NA,NA,NA,-656915607.1422,474395800
"36",2012-07-10,32.43,32.48,31.1599,31.47,31.47,14269500,0,1,NA,NA,0.4275,0.0893,0.3381,61.8839,61.228,NA,NA,NA,NA,NA,NA,NA,NA,-664481112.0661,460126300
"37",2012-07-11,31.48,31.56,30.55,30.97,30.97,13030300,0,1,NA,NA,0.3704,0.0258,0.3446,56.7799,39.9217,NA,NA,NA,NA,NA,NA,NA,NA,-666674330.878,447096000
"38",2012-07-12,30.7,31.4,30.6,30.81,30.81,11300700,0,1,NA,NA,0.3086,-0.0288,0.3374,40.5384,20.4654,NA,NA,NA,NA,NA,NA,NA,NA,-672042163.378,435795300
"39",2012-07-13,31.04,31.07,30.56,30.72,30.72,8108300,0,1,NA,NA,0.2496,-0.0702,0.3198,24.1824,12.1602,NA,NA,NA,NA,NA,NA,NA,NA,-675062902.5937,427687000
"40",2012-07-16,30.5,30.5,28.21,28.245,28.245,24672100,0,1,NA,NA,0.003,-0.2534,0.2565,13.0168,6.4249,NA,NA,NA,NA,NA,NA,NA,NA,-698980833.598,403014900
"41",2012-07-17,28.48,28.59,27.15,28.09,28.09,30438600,0,1,NA,NA,-0.2025,-0.3672,0.1647,9.4651,9.8103,NA,NA,NA,NA,NA,NA,NA,NA,-689680150.2647,372576300
"42",2012-07-18,28.31,29.29,28.15,29.11,29.11,16841800,0,1,NA,NA,-0.2799,-0.3557,0.0758,12.9953,22.7508,NA,NA,NA,NA,NA,NA,NA,NA,-678156813.4226,389418100
