"","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"1",2000-03-20,34.25,34.88,34.13,34.56,20.6389,2736000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401280,2736000
"2",2000-03-21,34.75,35.5,34.5,35.25,21.0509,4239900,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2521230,6975900
"3",2000-03-22,35.25,35.75,35,35.25,21.0509,3754000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1269896.6667,6975900
"4",2000-03-23,34,35.94,33.94,35.19,21.0151,4034900,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2278621.6667,2941000
"5",2000-03-24,35.12,35.94,34.69,34.81,20.7882,3188100,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-297363.1333,-247100
"6",2000-03-27,34.19,35.19,34.13,34.75,20.7523,2189900,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74506.678,-2437000
"7",2000-03-28,34,35.38,34,35.13,20.9793,2963500,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1964274.7939,526500
"8",2000-03-29,34.88,37.06,34.81,36.81,21.9825,5292800,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6080897.0162,5819300
"9",2000-03-30,36.81,38.25,36.81,37.63,22.4722,4939100,0,1,NA,NA,NA,NA,NA,63.5985,78.9663,NA,NA,NA,NA,NA,NA,NA,NA,6766883.1273,10758400
"10",2000-03-31,37.88,37.94,36.81,37.38,22.3229,3738300,0,1,NA,NA,NA,NA,NA,76.2016,85.6428,NA,NA,NA,NA,NA,NA,NA,NA,6799965.4281,7020100
"11",2000-04-03,37.81,38.63,37.56,38.5,22.9918,4459400,0,1,NA,NA,NA,NA,NA,83.9956,87.3778,NA,NA,NA,NA,NA,NA,NA,NA,10175772.9048,11479500
"12",2000-04-04,38.69,39.31,37.69,38.53,23.0097,5145500,0,1,NA,NA,NA,NA,NA,86.4945,86.4628,NA,NA,NA,NA,NA,NA,NA,NA,10366346.9789,16625000
"13",2000-04-05,38,38.63,37.25,38.56,23.0276,4143600,0,1,NA,NA,NA,NA,NA,85.709,83.2863,NA,NA,NA,NA,NA,NA,NA,NA,14089581.7615,20768600
"14",2000-04-06,37.75,38.06,36.88,37,22.096,4124100,0,1,NA,NA,NA,NA,NA,74.3904,53.4222,NA,NA,NA,NA,NA,NA,NA,NA,10804281.7615,16644500
"15",2000-04-07,36.38,37.31,36.13,37,22.096,3155400,0,1,NA,NA,NA,NA,NA,57.2316,34.9862,NA,NA,NA,NA,NA,NA,NA,NA,12301759.7276,16644500
"16",2000-04-10,36.88,36.94,35.88,36.38,21.7257,3234600,0,1,NA,NA,NA,NA,NA,34.9734,16.5119,NA,NA,NA,NA,NA,NA,NA,NA,12118669.1615,13409900
"17",2000-04-11,36.13,37.75,35.88,37.69,22.5081,3354100,0,1,NA,NA,NA,NA,NA,29.1387,35.918,NA,NA,NA,NA,NA,NA,NA,NA,15257532.7979,16764000
"18",2000-04-12,37.25,38.19,36.31,36.31,21.6839,4548200,0,1,NA,NA,NA,NA,NA,28.4778,33.0034,NA,NA,NA,NA,NA,NA,NA,NA,10709332.7979,12215800
"19",2000-04-13,36,36,34.13,34.13,20.3821,7400300,0,1,NA,NA,NA,NA,NA,32.3552,28.1443,NA,NA,NA,NA,NA,NA,NA,NA,3309032.7979,4815500
"20",2000-04-14,33.56,34.81,33,33.56,20.0417,5744700,0,1,NA,NA,NA,NA,NA,23.6498,9.8016,NA,NA,NA,NA,NA,NA,NA,NA,1119064.2896,-929200
"21",2000-04-17,33.5,34.13,33.06,33.69,20.1193,4728900,0,1,NA,NA,NA,NA,NA,15.3247,8.0283,NA,NA,NA,NA,NA,NA,NA,NA,1958775.5046,3799700
