"","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"1",2000-03-20,98.75,99.75,96.5,97.37,31.3048,23886500,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11098035.3846,23886500
"2",2000-03-21,96.75,103.12,96.5,102.75,33.0344,40824400,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25162912.0474,64710900
"3",2000-03-22,102.81,105.62,101.12,103.25,33.1952,46987900,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22656890.7141,111698800
"4",2000-03-23,106.81,112.87,106.62,111.87,35.9665,74112000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73053050.7141,185810800
"5",2000-03-24,112.62,115,109.56,111.69,35.9087,56098400,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60884647.7729,129712400
"6",2000-03-27,107.77,108.25,103.94,104.06,33.4556,55717000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8270218.5386,73995400
"7",2000-03-28,103.62,107.44,102.37,104.31,33.536,40557200,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1249124.2622,114552600
"8",2000-03-29,105.19,108.94,105.12,107.19,34.4619,32181900,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1446741.7064,146734500
"9",2000-03-30,106.19,108.62,102.5,103.37,33.2338,32089200,0,1,NA,NA,NA,NA,NA,35.2255,23.0212,NA,NA,NA,NA,NA,NA,NA,NA,-21519058.2936,114645300
"10",2000-03-31,106,108.25,104.12,106.25,34.1597,32140700,0,1,NA,NA,NA,NA,NA,30.6901,35.0457,NA,NA,NA,NA,NA,NA,NA,NA,-20507365.5576,146786000
"11",2000-04-03,94.44,96.5,90,90.87,29.215,130059100,0,1,NA,NA,NA,NA,NA,27.3076,23.8558,NA,NA,NA,NA,NA,NA,NA,NA,-115750644.9422,16726900
"12",2000-04-04,91.56,92,84.94,88.56,28.4723,90622200,0,1,NA,NA,NA,NA,NA,28.382,26.2444,NA,NA,NA,NA,NA,NA,NA,NA,-113440163.9224,-73895300
"13",2000-04-05,88.25,88.5,85.87,86.37,27.7682,41443800,0,1,NA,NA,NA,NA,NA,19.5574,8.5719,NA,NA,NA,NA,NA,NA,NA,NA,-139125865.063,-115339100
"14",2000-04-06,87.87,88,85.27,86,27.6493,33210700,0,1,NA,NA,NA,NA,NA,14.4576,8.5565,NA,NA,NA,NA,NA,NA,NA,NA,-154575531.3634,-148549800
"15",2000-04-07,87,89.37,85,89.06,28.6331,41306800,0,1,NA,NA,NA,NA,NA,10.8457,15.4088,NA,NA,NA,NA,NA,NA,NA,NA,-119129192.6906,-107243000
"16",2000-04-10,88.62,88.62,86,86.06,27.6686,30342700,0,1,NA,NA,NA,NA,NA,14.2164,18.6839,NA,NA,NA,NA,NA,NA,NA,NA,-148082150.7059,-137585700
"17",2000-04-11,85.12,86.06,83.5,83.87,26.9645,35980900,0,1,NA,NA,NA,NA,NA,17.7873,19.2691,NA,NA,NA,NA,NA,NA,NA,NA,-173662321.7996,-173566600
"18",2000-04-12,82.12,82.25,78.75,79.37,25.5177,76501900,0,1,NA,NA,NA,NA,NA,15.7627,9.3351,NA,NA,NA,NA,NA,NA,NA,NA,-223060691.5139,-250068500
"19",2000-04-13,80.87,82.25,79,79.25,25.4791,47158100,0,1,NA,NA,NA,NA,NA,11.4069,5.6165,NA,NA,NA,NA,NA,NA,NA,NA,-262963699.2062,-297226600
"20",2000-04-14,79.12,79.5,73.25,74.12,23.8298,75608900,0,1,NA,NA,NA,NA,NA,6.7846,5.4022,NA,NA,NA,NA,NA,NA,NA,NA,-317523081.4462,-372835500
"21",2000-04-17,74.25,76,73,75.87,24.3924,59886100,0,1,NA,NA,NA,NA,NA,7.2667,10.7813,NA,NA,NA,NA,NA,NA,NA,NA,-262827110.1129,-312949400
"22",2000-04-18,76.5,81.94,75.87,80.56,25.9003,45897300,0,1,NA,NA,NA,NA,NA,17.5462,36.4552,NA,NA,NA,NA,NA,NA,NA,NA,-237799093.1442,-267052100
