"","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"1",2000-01-03,1469.25,1478,1438.36,1455.22,1455.22,931800000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-139159787.5884,931800000
"2",2000-01-04,1455.22,1455.22,1397.4301,1399.42,1399.42,1.009e+09,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1078670159.839,-77200000
"3",2000-01-05,1399.42,1413.27,1377.6801,1402.11,1402.11,1085500000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-673936080.9134,1008300000
"4",2000-01-06,1402.11,1411.9,1392.1,1403.45,1403.45,1092300000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-513958541.7378,2100600000
"5",2000-01-07,1403.45,1441.47,1400.73,1441.47,1441.47,1225200000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,711241458.2622,3325800000
"6",2000-01-10,1441.47,1464.36,1441.47,1457.6,1457.6,1064800000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1147115885.46,4390600000
"7",2000-01-11,1457.6,1458.66,1434.42,1438.5601,1438.5601,1.014e+09,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479483619.9352,3376600000
"8",2000-01-12,1438.5601,1442.6,1427.08,1432.25,1432.25,974600000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154202999.9875,2.402e+09
"9",2000-01-13,1432.25,1454.2,1432.25,1449.6801,1449.6801,1030400000,0,1,NA,NA,NA,NA,NA,71.8612,67.576,NA,NA,NA,NA,NA,NA,NA,NA,760246529.3239,3432400000
"10",2000-01-14,1449.6801,1473,1449.6801,1465.15,1465.15,1085900000,0,1,NA,NA,NA,NA,NA,70.6806,71.7992,NA,NA,NA,NA,NA,NA,NA,NA,1115073743.9581,4518300000
"11",2000-01-18,1465.15,1465.15,1451.3,1455.14,1455.14,1056700000,0,1,NA,NA,NA,NA,NA,71.0074,73.6469,NA,NA,NA,NA,NA,NA,NA,NA,644323115.3035,3461600000
"12",2000-01-19,1455.14,1461.39,1448.6801,1455.9,1455.9,1087800000,0,1,NA,NA,NA,NA,NA,71.4568,68.9243,NA,NA,NA,NA,NA,NA,NA,NA,792385816.3771,4549400000
"13",2000-01-20,1455.9,1465.71,1438.54,1445.5699,1445.5699,1100700000,0,1,NA,NA,NA,NA,NA,64.9187,52.1849,NA,NA,NA,NA,NA,NA,NA,NA,261272923.392,3448700000
"14",2000-01-21,1445.5699,1453.1801,1439.6,1441.36,1441.36,1209800000,0,1,NA,NA,NA,NA,NA,51.8844,34.5439,NA,NA,NA,NA,NA,NA,NA,NA,-634941412.6376,2238900000
"15",2000-01-24,1441.36,1454.09,1395.42,1401.53,1401.53,1115800000,0,1,NA,NA,NA,NA,NA,34.4166,16.5209,NA,NA,NA,NA,NA,NA,NA,NA,-1518338810.7388,1123100000
"16",2000-01-25,1401.53,1414.26,1388.49,1410.03,1410.03,1073700000,0,1,NA,NA,NA,NA,NA,21.9961,14.9234,NA,NA,NA,NA,NA,NA,NA,NA,-797120539.484,2196800000
"17",2000-01-26,1410.03,1412.73,1400.16,1404.09,1404.09,1117300000,0,1,NA,NA,NA,NA,NA,16.7913,18.9296,NA,NA,NA,NA,NA,NA,NA,NA,-1215783803.3199,1079500000
"18",2000-01-27,1404.09,1418.86,1370.99,1398.5601,1398.5601,1129500000,0,1,NA,NA,NA,NA,NA,20.3147,27.0911,NA,NA,NA,NA,NA,NA,NA,NA,-1044243645.0537,-5e+07
"19",2000-01-28,1398.5601,1398.5601,1356.2,1360.16,1360.16,1095800000,0,1,NA,NA,NA,NA,NA,21.7207,19.1415,NA,NA,NA,NA,NA,NA,NA,NA,-1935159419.9521,-1145800000
"20",2000-01-31,1360.16,1394.48,1350.14,1394.46,1394.46,993800000,0,1,NA,NA,NA,NA,NA,26.7126,33.9053,NA,NA,NA,NA,NA,NA,NA,NA,-942256799.199,-1.52e+08
"21",2000-02-01,1394.46,1412.49,1384.79,1409.28,1409.28,9.81e+08,0,1,NA,NA,NA,NA,NA,34.8599,51.5328,NA,NA,NA,NA,NA,NA,NA,NA,-188619781.9711,8.29e+08
"22",2000-02-02,1409.28,1420.61,1403.49,1409.12,1409.12,1038600000,0,1,NA,NA,NA,NA,NA,54.507,78.0827,NA,NA,NA,NA,NA,NA,NA,NA,-544121078.6128,-209600000
"23",2000-02-03,1409.12,1425.78,1398.52,1424.97,1424.97,1146500000,0,1,NA,NA,NA,NA,NA,73.0589,89.5612,NA,NA,NA,NA,NA,NA,NA,NA,534240169.342,936900000
"24",2000-02-04,1424.97,1435.91,1420.63,1424.37,1424.37,1045100000,0,1,NA,NA,NA,NA,NA,85.7891,89.7232,NA,NA,NA,NA,NA,NA,NA,NA,744374.9361,-108200000
"25",2000-02-07,1424.37,1427.15,1413.33,1424.24,1424.24,918100000,0,1,NA,NA,NA,NA,NA,88.9443,87.5486,NA,NA,NA,NA,NA,NA,NA,NA,532203409.7252,-1026300000
"26",2000-02-08,1424.24,1441.83,1424.24,1441.72,1441.72,1047700000,0,1,NA,NA,NA,NA,NA,88.3642,87.8209,NA,NA,NA,NA,NA,NA,NA,NA,1566801475.9864,21400000
"27",2000-02-09,1441.72,1444.55,1411.65,1411.71,1411.71,1050500000,0,1,NA,NA,NA,NA,NA,81.2979,68.5241,NA,NA,NA,NA,NA,NA,NA,NA,520129060.8287,-1029100000
"28",2000-02-10,1411.7,1422.1,1406.4301,1416.83,1416.83,1058800000,0,1,NA,NA,NA,NA,NA,69.4131,51.8944,NA,NA,NA,NA,NA,NA,NA,NA,866749743.5353,29700000
"29",2000-02-11,1416.83,1416.83,1378.89,1387.12,1387.12,1025700000,0,1,NA,NA,NA,NA,NA,47.7474,22.8238,NA,NA,NA,NA,NA,NA,NA,NA,286042026.7864,-9.96e+08
"30",2000-02-14,1387.12,1394.9301,1380.53,1389.9399,1389.9399,927300000,0,1,NA,NA,NA,NA,NA,31.2,18.8817,NA,NA,NA,NA,NA,NA,NA,NA,570658172.432,-68700000
"31",2000-02-15,1389.9399,1407.72,1376.25,1402.05,1402.05,1092100000,0,1,NA,NA,NA,NA,NA,21.3616,22.3793,NA,NA,NA,NA,NA,NA,NA,NA,1269232432.2144,1023400000
"32",2000-02-16,1402.05,1404.55,1385.58,1387.67,1387.67,1018800000,0,1,NA,NA,NA,NA,NA,22.5882,26.5037,NA,NA,NA,NA,NA,NA,NA,NA,474931242.4627,4600000
"33",2000-02-17,1387.67,1399.88,1380.0699,1388.26,1388.26,1034800000,0,1,NA,NA,NA,NA,NA,26.5474,30.7593,NA,NA,NA,NA,NA,NA,NA,NA,295765062.3519,1039400000
"34",2000-02-18,1388.26,1388.59,1345.3199,1346.09,1346.09,1042300000,0,1,NA,NA,-16.932,-2.4722,-14.4598,25.2807,18.5791,NA,NA,NA,NA,NA,NA,NA,NA,-709438035.636,-2900000
"35",2000-02-22,1346.09,1358.11,1331.88,1352.17,1352.17,9.8e+08,0,1,NA,NA,-18.7844,-3.4596,-15.3247,22.8443,19.1946,NA,NA,NA,NA,NA,NA,NA,NA,-173292143.0353,977100000
"36",2000-02-23,1352.17,1370.11,1342.4399,1360.6899,1360.6899,993700000,0,1,NA,NA,-19.3419,-3.2137,-16.1282,20.106,22.5442,NA,NA,NA,NA,NA,NA,NA,NA,143813506.569,1970800000
"37",2000-02-24,1360.6899,1364.8,1329.88,1353.4301,1353.4301,1.215e+09,0,1,NA,NA,-20.1374,-3.2074,-16.93,25.0286,33.3472,NA,NA,NA,NA,NA,NA,NA,NA,567603511.2437,755800000
"38",2000-02-25,1353.4301,1362.14,1329.15,1333.36,1333.36,1065200000,0,1,NA,NA,-22.1323,-4.1618,-17.9705,27.5605,26.7902,NA,NA,NA,NA,NA,NA,NA,NA,-225729154.376,-309400000
"39",2000-02-28,1333.36,1360.8199,1325.0699,1348.05,1348.05,1026500000,0,1,NA,NA,-22.2711,-3.4405,-18.8306,30.2399,30.5824,NA,NA,NA,NA,NA,NA,NA,NA,67439417.9037,717100000
"40",2000-02-29,1348.05,1369.63,1348.05,1366.42,1366.42,1204300000,0,1,NA,NA,-20.6606,-1.464,-19.1966,35.781,49.9705,NA,NA,NA,NA,NA,NA,NA,NA,913466580.619,1921400000
"41",2000-03-01,1366.42,1383.46,1366.42,1379.1899,1379.1899,1274100000,0,1,NA,NA,-18.1448,0.8415,-18.9862,53.0194,78.5053,NA,NA,NA,NA,NA,NA,NA,NA,1549015056.9232,3195500000
"42",2000-03-02,1379.1899,1386.5601,1370.35,1381.76,1381.76,1198600000,0,1,NA,NA,-15.7618,2.5795,-18.3414,73.5684,92.2294,NA,NA,NA,NA,NA,NA,NA,NA,2037768138.6317,4394100000
"43",2000-03-03,1381.76,1410.88,1381.76,1409.17,1409.17,1150300000,0,1,NA,NA,-11.5287,5.4501,-16.9788,88.3436,94.296,NA,NA,NA,NA,NA,NA,NA,NA,3052974149.893,5544400000
"44",2000-03-06,1409.17,1409.74,1384.75,1391.28,1391.28,1.029e+09,0,1,NA,NA,-9.5079,5.9768,-15.4846,90.9536,86.3353,NA,NA,NA,NA,NA,NA,NA,NA,2561741459.2036,4515400000
"45",2000-03-07,1391.28,1399.21,1349.99,1355.62,1355.62,1314100000,0,1,NA,NA,-10.6609,3.859,-14.5199,79.7725,58.6861,NA,NA,NA,NA,NA,NA,NA,NA,1548266974.4239,3201300000
"46",2000-03-08,1355.62,1373.79,1346.62,1366.7,1366.7,1.203e+09,0,1,NA,NA,-10.559,3.1688,-13.7277,60.4848,36.433,NA,NA,NA,NA,NA,NA,NA,NA,2123415516.8407,4404300000
"47",2000-03-09,1366.7,1401.8199,1357.88,1401.6899,1401.6899,1.123e+09,0,1,NA,NA,-7.5675,4.9282,-12.4957,45.7278,42.0643,NA,NA,NA,NA,NA,NA,NA,NA,3239770281.9279,5527300000
"48",2000-03-10,1401.6899,1413.46,1392.0699,1395.0699,1395.0699,1138800000,0,1,NA,NA,-5.6656,5.464,-11.1297,47.2139,63.1444,NA,NA,NA,NA,NA,NA,NA,NA,2420409048.0998,4388500000
"49",2000-03-13,1395.0699,1398.39,1364.84,1383.62,1383.62,1016100000,0,1,NA,NA,-5.0244,4.8842,-9.9086,58.7963,71.1804,NA,NA,NA,NA,NA,NA,NA,NA,2541856565.0588,3372400000
"50",2000-03-14,1383.62,1395.15,1359.15,1359.15,1359.15,1.094e+09,0,1,NA,NA,-6.4167,2.7935,-9.2102,61.0626,48.863,NA,NA,NA,NA,NA,NA,NA,NA,1447856565.0588,2278400000
