"","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"1",2000-03-20,36.5,36.75,35,35.19,3.7331,1355300,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1061006.2857,1355300
"2",2000-03-21,35.38,39.03,35.19,39,4.1372,2731300,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1627617.1518,4086600
"3",2000-03-22,38.38,39.81,37.5,39.13,4.151,3107700,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2905675.5933,7194300
"4",2000-03-23,38.63,40,38.5,39.38,4.1775,2320600,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3307912.9267,9514900
"5",2000-03-24,39.62,40,37.56,38.62,4.0969,1690000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3086273.5824,7824900
"6",2000-03-27,38.81,40.44,38.75,39.13,4.151,2127700,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1915409.0854,9952600
"7",2000-03-28,39.25,39.88,37.5,37.94,4.0248,1179000,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1172341.8585,8773600
"8",2000-03-29,38.13,40,37.69,39.69,4.2104,1582300,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2329955.2784,10355900
"9",2000-03-30,39.25,41.69,39.25,39.75,4.2168,3201200,0,1,NA,NA,NA,NA,NA,52.2302,47.7184,NA,NA,NA,NA,NA,NA,NA,NA,440722.4915,13557100
"10",2000-03-31,39.81,45.25,39.31,44.81,4.7536,4578200,0,1,NA,NA,NA,NA,NA,58.9078,74.1706,NA,NA,NA,NA,NA,NA,NA,NA,4340670.6397,18135300
"11",2000-04-03,40.19,42.25,39.25,41.44,4.3961,4416500,0,1,NA,NA,NA,NA,NA,62.7253,66.2869,NA,NA,NA,NA,NA,NA,NA,NA,6372260.6397,13718800
"12",2000-04-04,41.13,43.5,39.5,43.44,4.6082,4968300,0,1,NA,NA,NA,NA,NA,71.3991,73.7398,NA,NA,NA,NA,NA,NA,NA,NA,11191511.6397,18687100
"13",2000-04-05,42.63,42.63,39.25,39.56,4.1966,3237900,0,1,NA,NA,NA,NA,NA,61.3493,44.0212,NA,NA,NA,NA,NA,NA,NA,NA,8547545.9592,15449200
"14",2000-04-06,39.94,40.25,36.5,37.56,3.9845,2376700,0,1,NA,NA,NA,NA,NA,49.6247,31.1131,NA,NA,NA,NA,NA,NA,NA,NA,7514473.6925,13072500
"15",2000-04-07,38,40.13,38,40.06,4.2497,2297200,0,1,NA,NA,NA,NA,NA,32.6156,22.7127,NA,NA,NA,NA,NA,NA,NA,NA,9660684.0212,15369700
"16",2000-04-10,40.25,40.31,36.56,36.63,3.8858,1742300,0,1,NA,NA,NA,NA,NA,25.1451,21.6095,NA,NA,NA,NA,NA,NA,NA,NA,7983429.8878,13627400
"17",2000-04-11,36.63,39,35.75,37.94,4.0248,1316000,0,1,NA,NA,NA,NA,NA,24.168,28.1819,NA,NA,NA,NA,NA,NA,NA,NA,8440992.9647,14943400
"18",2000-04-12,37.97,38.56,37.38,37.63,3.9919,1481100,0,1,NA,NA,NA,NA,NA,24.9212,24.9722,NA,NA,NA,NA,NA,NA,NA,NA,7587477.7105,13462300
"19",2000-04-13,37.69,40.13,37.56,39.83,4.2253,3379000,0,1,NA,NA,NA,NA,NA,35.7773,54.1777,NA,NA,NA,NA,NA,NA,NA,NA,10177606.1152,16841300
"20",2000-04-14,38.94,39,33.81,35.19,3.7331,2600200,0,1,NA,NA,NA,NA,NA,43.2647,50.6442,NA,NA,NA,NA,NA,NA,NA,NA,8960171.4331,14241100
"21",2000-04-17,34.25,36.56,33.44,36.13,3.8328,2447200,0,1,NA,NA,NA,NA,NA,51.7088,50.3046,NA,NA,NA,NA,NA,NA,NA,NA,10732822.7151,16688300
"22",2000-04-18,36.25,37.63,35.63,37.44,3.9717,1601100,0,1,NA,NA,NA,NA,NA,47.1197,40.4103,NA,NA,NA,NA,NA,NA,NA,NA,12029713.7151,18289400
"23",2000-04-19,37.19,38.94,36.75,37.25,3.9516,2074800,0,1,NA,NA,NA,NA,NA,47.6772,52.3169,NA,NA,NA,NA,NA,NA,NA,NA,10902310.9754,16214600
"24",2000-04-20,37.31,38,36,37.44,3.9717,1007800,0,1,NA,NA,NA,NA,NA,51.8739,62.8946,NA,NA,NA,NA,NA,NA,NA,NA,11345742.9754,17222400
"25",2000-04-24,37,40.63,36.88,39.94,4.237,1995500,0,1,NA,NA,NA,NA,NA,62.7701,73.0988,NA,NA,NA,NA,NA,NA,NA,NA,12606898.9754,19217900
"26",2000-04-25,38.5,39.38,35,38.19,4.0513,3744400,0,1,NA,NA,NA,NA,NA,69.6652,73.0022,NA,NA,NA,NA,NA,NA,NA,NA,14316670.6649,15473500
"27",2000-04-26,37.72,37.81,36.5,37.13,3.9389,2331500,0,1,NA,NA,NA,NA,NA,69.2445,61.6324,NA,NA,NA,NA,NA,NA,NA,NA,14227682.1153,13142000
"28",2000-04-27,36.06,37.13,35.44,37.06,3.9314,2828200,0,1,NA,NA,NA,NA,NA,59.443,43.6945,NA,NA,NA,NA,NA,NA,NA,NA,16821593.3579,10313800
"29",2000-04-28,33.69,34.06,30,30.23,3.2069,16456000,0,1,NA,NA,NA,NA,NA,43.6186,25.5288,NA,NA,NA,NA,NA,NA,NA,NA,2230066.2643,-6142200
"30",2000-05-01,31,31.31,30.13,30.94,3.2822,7388800,0,1,NA,NA,NA,NA,NA,28.4938,16.2582,NA,NA,NA,NA,NA,NA,NA,NA,4985212.027,1246600
"31",2000-05-02,32.19,33.5,31.81,31.94,3.3883,4111000,0,1,NA,NA,NA,NA,NA,18.0429,12.3417,NA,NA,NA,NA,NA,NA,NA,NA,1506673.5655,5357600
"32",2000-05-03,32.13,32.13,31,31.81,3.3745,2484200,0,1,NA,NA,NA,NA,NA,16.2274,20.0823,NA,NA,NA,NA,NA,NA,NA,NA,2583893.0345,2873400
"33",2000-05-04,31.69,33.88,31.63,33.44,3.5474,3086800,0,1,NA,NA,NA,NA,NA,25.803,44.9849,NA,NA,NA,NA,NA,NA,NA,NA,4463411.2567,5960200
"34",2000-05-05,32.94,33.75,31.86,33.69,3.5739,2158300,0,1,NA,NA,-1.9073,-0.3476,-1.5596,44.4722,68.3494,NA,NA,NA,NA,NA,NA,NA,NA,6484676.3361,8118500
"35",2000-05-08,33.63,33.63,32.75,33,3.5007,1688100,0,1,NA,NA,-1.8678,-0.2465,-1.6213,65.4566,83.0356,NA,NA,NA,NA,NA,NA,NA,NA,5755724.0634,6430400
"36",2000-05-09,33.13,33.5,32.13,33.38,3.541,1528400,0,1,NA,NA,-1.7852,-0.1311,-1.6541,77.908,82.3389,NA,NA,NA,NA,NA,NA,NA,NA,7016375.1583,7958800
"37",2000-05-10,33.25,33.63,32.25,32.56,3.4541,1332300,0,1,NA,NA,-1.7656,-0.0892,-1.6764,76.6156,64.4722,NA,NA,NA,NA,NA,NA,NA,NA,6282644.7235,6626500
"38",2000-05-11,32.56,33.5,31.94,33.25,3.5273,1323700,0,1,NA,NA,-1.6751,0.001,-1.6761,70.8834,65.8391,NA,NA,NA,NA,NA,NA,NA,NA,7182081.903,7950200
"39",2000-05-12,33,33.13,32.06,32.56,3.4541,804400,0,1,NA,NA,-1.6401,0.0288,-1.6689,60.2776,50.5216,NA,NA,NA,NA,NA,NA,NA,NA,7129457.6039,7145800
"40",2000-05-15,30.94,32.63,29.5,32.5,3.4477,4085300,0,1,NA,NA,-1.5988,0.0561,-1.6549,59.1058,60.9569,NA,NA,NA,NA,NA,NA,NA,NA,10875403.6103,3060500
"41",2000-05-16,33.88,34,32.69,33.25,3.5273,2271200,0,1,NA,NA,-1.4884,0.1332,-1.6216,58.566,64.2196,NA,NA,NA,NA,NA,NA,NA,NA,10545992.9233,5331700
"42",2000-05-17,32.63,33.75,32.38,32.44,3.4413,1622500,0,1,NA,NA,-1.4495,0.1376,-1.5872,66.315,73.7686,NA,NA,NA,NA,NA,NA,NA,NA,9065609.7116,3709200
"43",2000-05-18,32.56,32.75,30.69,30.69,3.2557,966900,0,1,NA,NA,-1.5422,0.036,-1.5782,65.4529,58.3704,NA,NA,NA,NA,NA,NA,NA,NA,8098709.7116,2742300
"44",2000-05-19,30.06,30.75,30,30.13,3.1963,1372500,0,1,NA,NA,-1.6419,-0.0509,-1.5909,55.7994,35.2593,NA,NA,NA,NA,NA,NA,NA,NA,7202009.7116,1369800
"45",2000-05-22,30,30,28,29.88,3.1698,1893400,0,1,NA,NA,-1.7212,-0.1042,-1.617,39.1852,23.9259,NA,NA,NA,NA,NA,NA,NA,NA,8868201.7116,-523600
"46",2000-05-23,29.88,30.44,28.31,28.31,3.0032,1481200,0,1,NA,NA,-1.889,-0.2176,-1.6714,25.3645,16.9082,NA,NA,NA,NA,NA,NA,NA,NA,7387001.7116,-2004800
"47",2000-05-24,29.06,31.25,28.94,31,3.2886,2593500,0,1,NA,NA,-1.7843,-0.0904,-1.6939,24.7094,33.2942,NA,NA,NA,NA,NA,NA,NA,NA,9419138.0752,588700
"48",2000-05-25,31,31.88,29.75,29.88,3.1698,1362400,0,1,NA,NA,-1.7713,-0.0619,-1.7094,29.7344,39.0009,NA,NA,NA,NA,NA,NA,NA,NA,8223040.4226,-773700
"49",2000-05-26,30.38,31,28.81,29.13,3.0902,946000,0,1,NA,NA,-1.8008,-0.0731,-1.7277,39.7356,46.9117,NA,NA,NA,NA,NA,NA,NA,NA,7553497.0436,-1719700
"50",2000-05-30,29.63,33.06,29.63,33.06,3.5071,1905100,0,1,NA,NA,-1.4898,0.1903,-1.6801,48.3684,59.1924,NA,NA,NA,NA,NA,NA,NA,NA,9458597.0436,185400
"51",2000-05-31,32.81,35,32.56,33.5,3.5538,3142300,0,1,NA,NA,-1.1942,0.3888,-1.5829,58.1337,68.297,NA,NA,NA,NA,NA,NA,NA,NA,8737413.4371,3327700
"52",2000-06-01,34.13,34.94,33.56,34.5,3.6599,1801800,0,1,NA,NA,-0.8691,0.5711,-1.4402,72.2398,89.2299,NA,NA,NA,NA,NA,NA,NA,NA,9390239.524,5129500
"53",2000-06-02,35,36.91,34.81,36.81,3.9049,2280600,0,1,NA,NA,-0.4203,0.8159,-1.2362,82.1151,88.8184,NA,NA,NA,NA,NA,NA,NA,NA,11453639.524,7410100
"54",2000-06-05,36.5,38.25,35.44,35.63,3.7797,1899900,0,1,NA,NA,-0.1579,0.8626,-1.0205,88.2709,86.7645,NA,NA,NA,NA,NA,NA,NA,NA,9810665.5027,5510200
"55",2000-06-06,39,39.5,37.44,37.5,3.9781,10042900,0,1,NA,NA,0.1986,0.9753,-0.7767,85.1446,79.8509,NA,NA,NA,NA,NA,NA,NA,NA,352788.8037,15553100
"56",2000-06-07,37.25,37.38,32,34.56,3.6662,36926400,0,1,NA,NA,0.2411,0.8142,-0.5732,74.9741,58.3068,NA,NA,NA,NA,NA,NA,NA,NA,-1431758.4082,-21373300
"57",2000-06-08,34.56,35.7,34.5,35.31,3.7458,5029500,0,1,NA,NA,0.3315,0.7237,-0.3922,62.6579,49.8161,NA,NA,NA,NA,NA,NA,NA,NA,328566.5918,-16343800
"58",2000-06-09,35.75,36.5,35,35.75,3.7925,1571300,0,1,NA,NA,0.4336,0.6607,-0.2271,50.2928,42.7556,NA,NA,NA,NA,NA,NA,NA,NA,328566.5918,-14772500
"59",2000-06-12,35.78,35.81,33.81,33.88,3.5941,2046700,0,1,NA,NA,0.3595,0.4693,-0.1098,44.1017,39.7333,NA,NA,NA,NA,NA,NA,NA,NA,-1574864.4082,-16819200
"60",2000-06-13,34.13,36.81,34,35.94,3.8126,1648600,0,1,35.5492,35.5492,0.4617,0.4572,0.0045,43.9742,49.4336,NA,6.8241,2.2764,NA,NA,28.2822,35.5492,42.8161,-947105.6894,-15170600
"61",2000-06-14,36,36.05,34.44,35.19,3.7331,1109900,0,1,35.5492,35.5374,0.4767,0.3777,0.099,45.7557,48.1003,50,6.6727,-5.5925,73.3333,15,28.2822,35.5492,42.8161,-1022937.3664,-16280500
"62",2000-06-15,35.25,35.63,34.44,34.69,3.68,998700,0,1,35.4773,35.5096,0.4431,0.2753,0.1678,49.0188,49.5225,49.7217,6.5264,-11.5461,71.6667,13.3333,28.2632,35.4773,42.6914,-1602015.5176,-17279200
"63",2000-06-16,35.81,35.88,34.75,34.88,3.7002,1198600,0,1,35.4065,35.489,0.4269,0.2073,0.2196,44.8743,37,49.8296,6.3595,-4.5708,70,11.6667,28.2541,35.4065,42.5589,-2524831.4469,-16080600
"64",2000-06-19,34.94,35.25,34.56,35.13,3.7267,980900,0,1,35.3357,35.4772,0.4292,0.1677,0.2615,40.5312,35.0712,49.9733,6.2174,-7.4633,68.3333,10,28.2582,35.3357,42.4131,-1885114.0555,-15099700
"65",2000-06-20,35,35.75,34.25,35.5,3.7659,1187400,0,1,35.2837,35.4779,0.4557,0.1554,0.3004,40.1709,48.4415,50.188,6.0267,-1.6813,66.6667,8.3333,28.2579,35.2837,42.3095,-1093514.0555,-13912300
"66",2000-06-21,35.5,36.75,35.5,36.19,3.8391,1414600,0,1,35.2347,35.5013,0.5263,0.1808,0.3456,48.644,62.4193,50.5902,5.9142,23.8057,65,6.6667,28.2762,35.2347,42.1932,-946395.6555,-12497700
"67",2000-06-22,36.13,36.88,35.69,35.81,3.7988,1371600,0,1,35.1992,35.5114,0.5453,0.1598,0.3855,59.8825,68.7867,50.3624,5.8192,24.6022,63.3333,5,28.2746,35.1992,42.1237,-2041370.4455,-13869300
"68",2000-06-23,36.13,36.25,35.25,35.31,3.7458,1070400,0,1,35.1262,35.5048,0.5141,0.1029,0.4112,63.4264,59.0733,50.0609,5.6775,13.2564,61.6667,3.3333,28.3009,35.1262,41.9515,-2983322.4455,-14939700
"69",2000-06-26,35.13,36.25,35,36.25,3.8455,1123600,0,1,35.0678,35.5292,0.5588,0.118,0.4407,62.1384,58.5551,50.6261,5.512,21.5643,60,1.6667,28.3425,35.0678,41.7932,-1859722.4455,-13816100
"70",2000-06-27,36,38.19,35.88,37.5,3.9781,2749700,0,1,34.946,35.5939,0.6871,0.1971,0.49,60.845,64.9066,51.3703,5.562,61.9116,58.3333,0,28.682,34.946,41.21,-752700.3675,-11066400
"71",2000-06-28,37.5,38.56,37.31,38.19,4.0513,1876100,0,1,34.8918,35.679,0.8349,0.2759,0.559,68.2675,81.3408,51.7784,5.6488,87.3318,56.6667,1.6667,28.7995,34.8918,40.9841,12748.4325,-9190300
"72",2000-06-29,38.06,38.13,37.38,37.88,4.0184,1750700,0,1,34.7992,35.7511,0.9164,0.286,0.6305,76.4019,82.9585,51.5806,5.7326,85.3857,55,0,29.0716,34.7992,40.5268,596315.0991,-10941000
"73",2000-06-30,37.94,38.94,37.89,38.19,4.0513,2385900,0,1,34.7763,35.8311,0.9946,0.2913,0.7033,82.7075,83.8234,51.768,5.8999,103.1881,53.3333,0,29.1143,34.7763,40.4384,-426213.4723,-8555100
"74",2000-07-03,38,38.81,37.88,38.5,4.0842,519100,0,1,34.792,35.9186,1.0692,0.2927,0.7765,83.0922,82.4948,51.957,6.0603,104.487,51.6667,18.3333,29.0941,34.792,40.4899,-253180.139,-8036000
"75",2000-07-05,38.56,39,37.69,38.31,4.064,1184700,0,1,34.7628,35.997,1.1004,0.2591,0.8413,80.5235,75.2523,51.8304,6.1894,103.8642,50,16.6667,29.1559,34.7628,40.3697,-316484.7191,-9220700
"76",2000-07-06,38.56,38.75,36.5,38.06,4.0375,3063000,0,1,34.7867,36.0647,1.0923,0.2008,0.8915,75.6038,69.0642,51.6619,6.1549,87.6392,48.3333,15,29.1362,34.7867,40.4371,867875.2809,-12283700
"77",2000-07-07,38.94,42,38.75,41.81,4.4353,5482300,0,1,34.8512,36.253,1.3726,0.3849,0.9877,72.3407,72.7057,53.9451,6.4674,171.7102,46.6667,100,28.9744,34.8512,40.7279,5709167.8963,-6801400
"78",2000-07-10,41.38,42.75,39.75,39.75,4.2168,3382000,0,1,34.8865,36.3677,1.4123,0.3397,1.0726,70.695,70.3152,52.5583,6.8412,164.4915,45,100,28.9186,34.8865,40.8544,2327167.8963,-10183400
"79",2000-07-11,39.5,40.81,39.44,39.94,4.237,1268000,0,1,34.8883,36.4848,1.4425,0.2959,1.1466,70.2942,67.8618,52.6724,7.1603,144.1806,43.3333,98.3333,28.9142,34.8883,40.8624,1984715.3415,-8915400
"80",2000-07-12,39.75,41.13,39.75,40.31,4.2762,1376600,0,1,34.9737,36.6102,1.4792,0.2661,1.2131,64.7257,56,52.8968,7.5005,147.469,41.6667,96.6667,28.8406,34.9737,41.1067,1725355.9212,-7538800
"81",2000-07-13,40,40.13,39.5,40,4.2433,1167100,0,1,35.0382,36.7214,1.4663,0.2026,1.2637,57.6484,49.0833,52.684,7.7937,127.8734,40,95,28.7778,35.0382,41.2986,2410795.6038,-8705900
"82",2000-07-14,39.94,40.13,39.63,40,4.2433,943000,0,1,35.0808,36.8289,1.4396,0.1407,1.2989,47.1532,36.3761,52.684,8.0771,125.3699,38.3333,93.3333,28.7214,35.0808,41.4402,2863435.6038,-8705900
"83",2000-07-17,39.69,40.13,39.63,39.81,4.2232,799000,0,1,35.1235,36.9266,1.387,0.0705,1.3165,36.2711,23.354,52.5499,8.3511,121.1766,36.6667,91.6667,28.6728,35.1235,41.5742,2639715.6038,-9504900
"84",2000-07-18,39.75,40.81,39.63,39.75,4.2168,1521400,0,1,35.162,37.0192,1.3253,0.007,1.3183,25.9266,18.0498,52.507,8.6904,123.067,35,90,28.6294,35.162,41.6946,1427752.8919,-11026300
"85",2000-07-19,39.63,40.25,39.63,39.75,4.2168,1021200,0,1,35.1588,37.1087,1.2618,-0.0452,1.307,20.0585,18.7716,52.507,9.0184,117.597,33.3333,88.3333,28.6353,35.1588,41.6824,801856.1177,-11026300
"86",2000-07-20,39.91,40.88,39.88,40,4.2433,1439600,0,1,35.189,37.2035,1.2176,-0.0715,1.2891,19.3873,21.3405,52.6735,9.4054,123.7371,31.6667,86.6667,28.5933,35.189,41.7847,-292239.8823,-9586700
"87",2000-07-21,39.81,40.44,39.75,39.94,4.237,1767300,0,1,35.2358,37.2932,1.1644,-0.0998,1.2642,21.5356,24.4947,52.6285,9.7575,115.2699,30,85,28.5464,35.2358,41.9252,-1086244.2301,-11354000
