"","t","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","vix.open","vix.high","vix.low","vix.close","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"1",1,2010-09-23,19.89,20.14,19.5,19.56,19.56,668100,0,1,23.91,24.06,22.56,23.87,19.9153,19.9734,0.1449,-0.1398,0.2846,20.1334,11.2931,44.6675,6.6943,-15.673,8.3333,1.6667,17.0167,19.9153,22.8138,-8817393.3739,-15785200
"2",2,2010-09-24,19.95,20.19,19.65,20.1,20.1,578900,0,1,22.61,22.61,21.71,21.71,19.8531,19.9776,0.107,-0.1421,0.2491,15.1624,11.4262,45.4059,6.6283,5.0204,6.6667,0,17.1389,19.8531,22.5673,-8431460.0406,-15206300
"3",3,2010-09-27,20.4,20.81,20.05,20.53,20.53,418600,0,1,22.58,22.75,21.97,22.54,19.8292,19.9957,0.1105,-0.1109,0.2214,16.733,27.4797,45.9896,6.6765,39.4322,5,0,17.1648,19.8292,22.4937,-8321302.1458,-14787700
"4",4,2010-09-28,21.04,21.49,20.76,21.4,21.4,1214500,0,1,22.92,24.28,22.4,22.6,19.8659,20.0417,0.1814,-0.032,0.2134,32.4119,58.3299,47.1522,6.8409,86.9895,3.3333,86.6667,17.1767,19.8659,22.5552,-7406267.8993,-13573200
"5",5,2010-09-29,21.19,22.03,21.13,21.98,21.98,1969300,0,1,23.14,23.45,22.72,23.25,19.9638,20.1053,0.2811,0.0541,0.2269,55.686,81.2483,47.9123,7.09,117.342,1.6667,85,17.4042,19.9638,22.5233,-5655779.0104,-11603900
"6",6,2010-09-30,22,22.1499,20.19,20.405,20.405,2195800,0,1,22.85,24.52,22.39,23.7,20.0405,20.1151,0.2303,0.0027,0.2276,71.3819,74.5674,46.0819,7.1317,62.6306,0,83.3333,17.72,20.0405,22.361,-7369822.7983,-13799700
"7",7,2010-10-01,20.69,20.75,20.31,20.6,20.6,597700,0,1,22.9,23.67,22.46,22.5,20.0928,20.131,0.2035,-0.0193,0.2228,69.096,51.4722,46.34,7.172,34.4521,0,81.6667,17.8678,20.0928,22.3179,-7179645.5256,-13202000
"8",8,2010-10-04,20.43,21.17,20.3,20.99,20.99,643600,0,1,23.63,24.34,23.3,23.53,20.1527,20.1592,0.2113,-0.0092,0.2205,52.8145,32.4038,46.8574,7.2854,52.9463,0,80,18.0298,20.1527,22.2756,-6802362.767,-12558400
"9",9,2010-10-05,21.15,21.28,21.01,21.12,21.12,332000,0,1,22.52,23.08,21.71,21.76,20.2205,20.1907,0.2254,0.0039,0.2215,40.6766,38.1538,47.0306,7.4146,77.1013,1.6667,78.3333,18.2434,20.2205,22.1976,-6863844.2485,-12226400
"10",10,2010-10-06,21.06,21.258,20.32,20.46,20.46,313400,0,1,21.82,22.13,21.46,21.49,20.2592,20.1995,0.1812,-0.0322,0.2134,34.8577,34.0153,46.2526,7.3882,36.4726,0,76.6667,18.357,20.2592,22.1613,-7083692.0096,-12539800
"11",11,2010-10-07,20.57,20.64,20.34,20.43,20.43,141000,0,1,21.31,22.16,21.28,21.56,20.269,20.207,0.1421,-0.0571,0.1991,32.3334,24.831,46.2172,7.3627,16.5408,35,75,18.3695,20.269,22.1685,-7140092.0096,-12680800
"12",12,2010-10-08,20.43,20.79,20.39,20.43,20.43,267800,0,1,21.58,21.64,20.29,20.71,20.278,20.2144,0.1098,-0.0714,0.1813,24.094,13.4356,46.2172,7.3673,21.9445,33.3333,73.3333,18.3807,20.278,22.1753,-7354332.0096,-12680800
"13",13,2010-10-11,20.44,20.699,20.07,20.24,20.24,171200,0,1,19.33,19.51,18.8,18.96,20.2713,20.2152,0.0682,-0.0905,0.1587,17.2644,13.5267,45.9871,7.2989,4.3572,31.6667,71.6667,18.3763,20.2713,22.1663,-7432991.4691,-12852000
"14",14,2010-10-12,20.2,20.2829,20.03,20.24,20.24,244000,0,1,20,20.1,18.55,18.93,20.2435,20.216,0.0347,-0.0991,0.1339,13.9225,14.8053,45.9871,7.2235,-7.358,30,70,18.3971,20.2435,22.0899,-7271772.0148,-12852000
"15",15,2010-10-13,20.64,20.85,20.36,20.54,20.54,318200,0,1,17.92,19.16,17.9,19.07,20.2475,20.2266,0.0321,-0.0814,0.1135,19.8158,31.1152,46.4228,7.2679,30.1419,28.3333,68.3333,18.3996,20.2475,22.0954,-7356192.4229,-12533800
"16",16,2010-10-14,21,21.0299,20.4,20.75,20.75,294800,0,1,19.59,21.02,19.4,19.88,20.2563,20.2438,0.0464,-0.0537,0.1001,32.1183,50.4344,46.7286,7.3475,42.4178,26.6667,66.6667,18.404,20.2563,22.1086,-7323384.8662,-12239000
"17",17,2010-10-15,20.89,20.9,20.25,20.54,20.54,284700,0,1,20.2,21.59,19.02,19.03,20.2487,20.2535,0.0403,-0.0478,0.0881,47.7618,61.7358,46.4589,7.387,27.907,25,65,18.4049,20.2487,22.0924,-7354044.8662,-12523700
"18",18,2010-10-18,20.52,20.6399,20.22,20.23,20.23,162800,0,1,20.43,20.71,18.88,19.09,20.231,20.2527,0.0104,-0.0622,0.0726,53.2806,47.6714,46.0598,7.4174,10.894,23.3333,63.3333,18.4073,20.231,22.0547,-7509090.639,-12686500
"19",19,2010-10-19,20.2,20.4061,20,20.05,20.05,245200,0,1,20.7,21.35,19.33,20.63,20.216,20.2461,-0.0276,-0.0801,0.0526,44.8982,25.2873,45.8273,7.3898,-8.0426,21.6667,61.6667,18.4014,20.216,22.0306,-7693911.422,-12931700
"20",20,2010-10-20,20.16,20.69,20.04,20.65,20.65,312500,0,1,21.2,21.2,19.67,19.79,20.2177,20.2593,-0.0091,-0.0493,0.0402,34.094,29.3233,46.7386,7.4274,21.9155,20,60,18.4017,20.2177,22.0336,-7419872.9605,-12619200
"21",21,2010-10-21,20.61,20.95,20.45,20.75,20.75,417100,0,1,19.7,20.53,18.93,19.27,20.2182,20.2754,0.0134,-0.0214,0.0349,34.5274,48.9717,46.89,7.5224,46.6208,18.3333,58.3333,18.4016,20.2182,22.0347,-7336452.9605,-12202100
"22",22,2010-10-22,20.68,20.93,20.55,20.72,20.72,161100,0,1,19.36,19.36,18.76,18.78,20.2243,20.29,0.0286,-0.0051,0.0336,50.3039,72.6166,46.8493,7.6142,47.4117,16.6667,56.6667,18.4035,20.2243,22.0451,-7353410.8552,-12363200
"23",23,2010-10-25,20.94,20.98,20.73,20.85,20.85,118500,0,1,19.22,19.88,18.86,19.85,20.2395,20.3084,0.0504,0.0135,0.037,67.3596,80.4905,47.0516,7.7148,57.2775,15,55,18.4133,20.2395,22.0657,-7358150.8552,-12244700
"24",24,2010-10-26,20.8,21.87,20.51,21.36,21.36,660900,0,1,20.52,21.01,20.22,20.22,20.2468,20.3428,0.1077,0.0566,0.0511,77.1085,78.2184,47.8432,8.0133,93.0781,13.3333,53.3333,18.4063,20.2468,22.0874,-7192925.8552,-11583800
"25",25,2010-10-27,21.25,21.38,20.65,21,21,356500,0,1,21.11,22.37,20.69,20.71,20.231,20.3644,0.1226,0.0572,0.0654,74.8583,65.8661,47.3352,8.3019,72.3858,11.6667,51.6667,18.4335,20.231,22.0285,-7207576.5402,-11940300
"26",26,2010-10-28,21.39,21.5,20.96,21.19,21.19,224200,0,1,20.28,21.41,20.18,20.88,20.2298,20.3914,0.1481,0.0661,0.0819,65.9019,53.6212,47.6336,8.6077,92.8291,10,50,18.4349,20.2298,22.0248,-7240791.355,-11716100
"27",27,2010-10-29,21.14,21.85,21.052,21.84,21.84,280600,0,1,21.2,21.4,20.86,21.2,20.253,20.4389,0.2181,0.109,0.1092,60.5543,62.1755,48.6461,8.9813,124.1457,8.3333,48.3333,18.412,20.253,22.094,-6967223.9364,-11435500
"28",28,2010-11-01,21.94,22.75,21.31,21.41,21.41,455800,0,1,21.65,22.54,20.92,21.83,20.2833,20.4708,0.2363,0.1017,0.1346,59.4847,62.6576,48.0215,9.5296,141.7824,6.6667,46.6667,18.4271,20.2833,22.1396,-7359718.3809,-11891300
"29",29,2010-11-02,21.68,21.8792,21.05,21.25,21.25,322500,0,1,21.34,21.82,21.22,21.57,20.3108,20.4963,0.235,0.0803,0.1547,60.1159,55.5147,47.7893,9.974,98.9734,5,45,18.447,20.3108,22.1746,-7526646.7456,-12213800
"30",30,2010-11-03,21.28,22.5,21.16,21.77,21.77,372600,0,1,21.66,22.02,19.54,19.56,20.3565,20.5381,0.2729,0.0945,0.1783,52.0576,38.0005,48.6105,10.5274,134.4941,3.3333,43.3333,18.4862,20.3565,22.2268,-7560013.9098,-11841200
"31",31,2010-11-04,22.6,25.33,22.151,24.9,24.9,1874000,0,1,18.03,18.8,17.97,18.52,20.4732,20.6811,0.5491,0.2966,0.2525,49.3691,54.592,53.1239,11.5158,339.4717,1.6667,100,18.3714,20.4732,22.5749,-6192978.364,-9967200
"32",32,2010-11-05,24.87,24.97,23.72,24.44,24.44,1011000,0,1,18.07,18.44,17.92,18.26,20.5872,20.8043,0.7225,0.376,0.3465,54.6875,71.4701,52.4356,12.4713,349.3882,0,98.3333,18.3817,20.5872,22.7926,-6039306.364,-10978200
"33",33,2010-11-08,24.5,25,24.03,24.98,24.98,509500,0,1,19.33,19.35,18.21,18.29,20.6982,20.9413,0.8933,0.4374,0.4558,71.0186,86.9938,53.1601,13.3991,354.3851,0,96.6667,18.2984,20.6982,23.0979,-5550816.6733,-10468700
"34",34,2010-11-09,25,25.69,24.0501,24.63,24.63,956400,0,1,18.51,19.39,17.83,19.08,20.7957,21.0622,0.9889,0.4265,0.5625,80.3356,82.5428,52.6317,14.3905,336.4293,0,100,18.245,20.7957,23.3463,-5830814.0146,-11425100
"35",35,2010-11-10,24.48,29.97,24.05,29.36,29.36,3060500,0,1,18.94,19.96,18.41,18.47,20.9658,21.3343,1.4299,0.694,0.736,85.4701,86.8738,58.3249,15.7918,499.1116,3.3333,100,17.6343,20.9658,24.2974,-3401025.1632,-8364600
"36",36,2010-11-11,28.6,29.1,27.33,28.035,28.035,1945300,0,1,19.44,19.75,18.48,18.64,21.1202,21.5539,1.6535,0.734,0.9195,82.8988,79.2796,56.394,17.1464,445.0335,1.6667,98.3333,17.3767,21.1202,24.8638,-3796679.4005,-10309900
"37",37,2010-11-12,28.25,30.5,28.07,29.84,29.84,2729100,0,1,19.59,21.23,19.29,20.61,21.3044,21.8256,1.9537,0.8274,1.1263,83.2775,83.6792,58.3062,18.5657,441.1688,0,100,16.9933,21.3044,25.6155,-2550053.4746,-7580800
"38",38,2010-11-15,30.22,32.9395,30.22,30.8,30.8,2622900,0,1,20.33,20.37,19.14,20.2,21.4994,22.1199,2.2433,0.8936,1.3497,80.4053,78.2571,59.2722,20.0987,445.3377,0,100,16.5882,21.4994,26.4107,-4054158.1078,-4957900
"39",39,2010-11-16,31,31.4,28.42,29.67,29.67,1347600,0,1,21.26,23.07,20.95,22.58,21.6584,22.3674,2.3545,0.8038,1.5507,79.4179,76.3173,57.6727,21.1205,326.3422,3.3333,98.3333,16.3344,21.6584,26.9824,-4271221.195,-6305500
"40",40,2010-11-17,30.2,30.75,28.61,29.49,29.49,750000,0,1,22.19,22.21,21.22,21.76,21.8299,22.6009,2.4004,0.6798,1.7206,71.2647,59.2197,57.4217,22.1082,278.5775,1.6667,96.6667,16.1807,21.8299,27.4791,-4404398.7651,-7055500
"41",41,2010-11-18,30.67,30.74,28.9201,29.89,29.89,956100,0,1,20.31,20.31,18.75,18.75,21.9964,22.8399,2.4409,0.5762,1.8647,60.6348,46.3674,57.8364,23.063,253.0661,0,95,16.006,21.9964,27.9868,-4341408.2766,-6099400
"42",42,2010-11-19,30.16,31.37,29.7,30.99,30.99,1150500,0,1,19.15,19.72,17.76,18.04,22.1837,23.1071,2.5326,0.5343,1.9982,49.9453,44.2488,58.9544,24.0377,248.0936,5,93.3333,15.7962,22.1837,28.5713,-3714489.115,-4948900
"43",43,2010-11-22,31.57,33.45,31.5,33.4,33.4,1529700,0,1,19.45,20.14,18.35,18.37,22.4121,23.4446,2.7678,0.6156,2.1522,51.6772,64.4154,61.2442,25.1342,271.9872,3.3333,100,15.443,22.4121,29.3811,-2263235.2688,-3419200
"44",44,2010-11-23,33.29,35.68,32.1901,34.57,34.57,1577800,0,1,20.25,21.45,20.24,20.63,22.6571,23.8094,3.0139,0.6894,2.3245,62.907,80.0568,62.2829,26.3337,271.4847,1.6667,100,15.0577,22.6571,30.2565,-1689107.5803,-1841400
"45",45,2010-11-24,35.27,35.97,34.334,35.47,35.47,1425000,0,1,19.42,19.61,18.73,19.56,22.9236,24.1917,3.2441,0.7357,2.5084,78.8478,92.0712,63.0575,27.5099,264.3848,0,100,14.6932,22.9236,31.1539,-1135134.4752,-416400
"46",46,2010-11-26,35.6,36,34.75,35.32,35.32,350600,0,1,21.17,22.22,20.28,22.22,23.1714,24.5566,3.3756,0.6937,2.6819,86.9776,88.8046,62.8388,28.6487,239.5089,25,100,14.3777,23.1714,31.9652,-1165987.2752,-767000
"47",47,2010-11-29,35.4122,35.95,33.33,34.33,34.33,1145600,0,1,23.15,23.84,21.38,21.53,23.3926,24.877,3.3611,0.5434,2.8177,87.5145,81.6676,61.4091,29.4086,203.9285,23.3333,98.3333,14.1656,23.3926,32.6196,-1437083.4584,-1912600
"48",48,2010-11-30,33.74,35.33,33.41,35.33,35.33,2222600,0,1,23.27,23.79,22.42,23.54,23.6306,25.2197,3.3913,0.4589,2.9324,82.8807,78.1698,62.2904,30.1431,190.0418,21.6667,96.6667,13.9329,23.6306,33.3283,785516.5416,310000
"49",49,2010-12-01,35.87,36.42,33.45,34.35,34.35,1299200,0,1,21.19,21.43,20.4,21.36,23.8607,25.5191,3.2981,0.2925,3.0055,73.0917,59.4376,60.9042,30.9331,176.7526,20,100,13.818,23.8607,33.9035,273710.481,-989200
"50",50,2010-12-02,34.01,34.2975,31.2,32.35,32.35,2007000,0,1,21.13,21.13,19.1,19.39,24.0516,25.743,3.0279,0.0179,3.01,61.1419,45.8182,58.2155,31.2074,133.898,18.3333,98.3333,13.808,24.0516,34.2952,-243023.1752,-2996200
"51",51,2010-12-03,32.01,32.25,30.87,31.49,31.49,1160100,0,1,19.26,19.28,17.71,18.01,24.2312,25.9315,2.7131,-0.2375,2.9506,42.4421,22.0705,57.113,31.4063,110.9788,16.6667,96.6667,13.8511,24.2312,34.6114,-360714.4795,-4156300
"52",52,2010-12-06,31.35,31.45,29.56,30.31,30.31,1274400,0,1,18.8,18.85,17.95,18.02,24.4002,26.075,2.3415,-0.4873,2.8288,27.5334,14.7116,55.6426,31.3455,89.9966,15,95,13.9601,24.4002,34.8404,-623685.9081,-5430700
"53",53,2010-12-07,30.49,32.4,30.05,31.56,31.56,1311300,0,1,17.13,18.15,17.13,17.99,24.5809,26.2549,2.1233,-0.5644,2.6877,17.9561,17.0862,56.8397,31.3803,98.3055,13.3333,93.3333,14.0272,24.5809,35.1346,-249825.9081,-4119400
"54",54,2010-12-08,32.48,32.49,31.52,32.37,32.37,660000,0,1,17.97,18.32,17.69,17.74,24.7684,26.4554,1.9928,-0.5559,2.5487,21.6439,33.1338,57.5938,31.4227,104.3668,11.6667,91.6667,14.0686,24.7684,35.4682,246875.1228,-3459400
"55",55,2010-12-09,32.51,32.72,31.65,32.05,32.05,406000,0,1,17.32,17.84,17.24,17.25,24.9362,26.6388,1.8423,-0.5651,2.4075,35.3251,55.7553,57.1923,31.4865,99.5046,10,90,14.1016,24.9362,35.7709,144426.5247,-3865400
"56",56,2010-12-10,32.05,32.92,31.1301,31.52,31.52,429400,0,1,17.06,17.63,17.06,17.61,25.1126,26.7988,1.6612,-0.597,2.2582,51.4569,65.4816,56.5286,31.4448,91.253,8.3333,88.3333,14.1997,25.1126,36.0254,-97898.1527,-4294800
"57",57,2010-12-13,31.64,31.77,30.4,30.55,30.55,410400,0,1,16.82,17.67,16.68,17.55,25.2846,26.9218,1.4229,-0.6682,2.0911,57.5848,51.5175,55.3334,31.2626,75.195,6.6667,86.6667,14.3597,25.2846,36.2095,-418429.5395,-4705200
"58",58,2010-12-14,30.29,30.3899,27.761,28.53,28.53,1765700,0,1,17.6,17.95,17.22,17.61,25.4092,26.9745,1.0589,-0.8258,1.8847,49.0731,30.2203,52.9619,30.6289,46.5074,5,85,14.5096,25.4092,36.3088,-1151132.2403,-6470900
"59",59,2010-12-15,28.67,29.97,28.53,29.6,29.6,742900,0,1,17.99,18.14,17.37,17.94,25.5563,27.0606,0.847,-0.8302,1.6771,34.7986,22.658,54.0234,30.0164,50.7654,3.3333,83.3333,14.6728,25.5563,36.4398,-790000.2958,-5728000
"60",60,2010-12-16,30,30.91,29.6501,30.81,30.81,790100,0,1,18.03,18.27,16.88,17.39,25.7387,27.1836,0.7678,-0.7275,1.4953,29.8098,36.551,55.1863,29.5409,62.7145,1.6667,81.6667,14.8758,25.7387,36.6015,-125322.9484,-4937900
"61",61,2010-12-17,31.34,31.54,30.71,31.36,31.36,813000,0,1,17.62,17.64,15.46,16.11,25.9353,27.3205,0.7409,-0.6035,1.3444,40.2386,61.5067,55.7042,29.1568,69.8755,0,80,15.0998,25.9353,36.7709,335050.5456,-4124900
"62",62,2010-12-20,31.64,32.19,31.26,31.7,31.7,523400,0,1,16.22,16.86,15.78,16.41,26.1287,27.4641,0.7385,-0.4847,1.2232,59.1093,79.2701,56.0237,28.8618,73.8822,0,78.3333,15.3025,26.1287,36.9548,306910.7606,-3601500
"63",63,2010-12-21,31.8,32.69,31.7101,32.26,32.26,777700,0,1,16.2,16.62,16.08,16.49,26.3242,27.6213,0.7729,-0.3603,1.1332,76.7448,89.4577,56.5487,28.6343,77.6837,26.6667,76.6667,15.4859,26.3242,37.1625,402069.685,-2823800
"64",64,2010-12-22,32.25,32.86,31.7,32.63,32.63,833300,0,1,16.52,16.56,15.45,15.45,26.5113,27.7855,0.8206,-0.2501,1.0706,86.402,90.4782,56.8945,28.4342,77.2907,25,75,15.6319,26.5113,37.3908,904923.1333,-1990500
"65",65,2010-12-23,31.26,32.48,29.92,30.09,30.09,1552600,0,1,15.44,16.86,15.4,16.47,26.6465,27.8611,0.6459,-0.3398,0.9857,80.8987,62.7601,53.9003,27.9304,55.0157,23.3333,73.3333,15.7941,26.6465,37.4989,-441472.1792,-3543100
"66",66,2010-12-27,28.02,28.58,25.06,25.549,25.549,9301900,0,1,18.26,18.32,17.66,17.67,26.7322,27.7853,0.1395,-0.677,0.8165,62.7335,34.9621,49.1934,27.2222,-4.1712,21.6667,71.6667,15.9978,26.7322,37.4667,-7158923.827,-12845000
"67",67,2010-12-28,25.85,26.75,25,26.41,26.41,4056300,0,1,17.3,17.99,17.3,17.52,26.8291,27.7402,-0.1902,-0.8053,0.6151,35.9063,9.9968,50.0347,26.5447,-10.1481,20,70,16.2135,26.8291,37.4447,-4678786.1127,-8788700
"68",68,2010-12-29,27.03,28.01,26.5,27.73,27.73,3319200,0,1,17.49,17.49,17.02,17.28,26.9414,27.7399,-0.341,-0.7649,0.4239,21.5353,19.647,51.2922,25.7238,6.9472,18.3333,68.3333,16.4332,26.9414,37.4496,-2590547.7021,-5469500
"69",69,2010-12-30,27.7,27.9,26.38,26.5,26.5,2041100,0,1,17.65,17.89,17.46,17.52,27.0311,27.6992,-0.5534,-0.7819,0.2284,17.9619,24.2417,50.0975,24.9451,-1.1473,16.6667,66.6667,16.6319,27.0311,37.4303,-4309368.7547,-7510600
"70",70,2010-12-31,26.57,27.25,26.5,26.63,26.63,1417900,0,1,17.91,18.13,17.75,17.75,27.1339,27.6642,-0.7032,-0.7453,0.0421,25.7759,33.439,50.2221,24.1924,-4.5791,15,65,16.8756,27.1339,37.3922,-5235730.088,-6092700
"71",71,2011-01-03,26.84,26.9999,25.9,26.62,26.62,1283000,0,1,17.94,17.95,16.91,17.61,27.2371,27.6299,-0.8133,-0.6843,-0.129,32.4941,39.8016,50.2123,23.5424,-10.428,13.3333,63.3333,17.1271,27.2371,37.3471,-4839013.7502,-7375700
"72",72,2011-01-04,26.66,26.95,26.02,26.67,26.67,1187400,0,1,17.34,18.24,17.33,17.38,27.3411,27.5984,-0.8863,-0.6059,-0.2804,39.5073,45.2814,50.2617,22.9142,-11.5946,11.6667,61.6667,17.3861,27.3411,37.296,-4366607.2986,-6188300
"73",73,2011-01-05,26.48,26.9,26.19,26.83,26.83,1446700,0,1,17.81,17.95,16.86,17.02,27.4509,27.5733,-0.9206,-0.5121,-0.4085,43.5625,45.6045,50.4218,22.3068,-12.0806,10,60,17.6678,27.4509,37.234,-3205172.0873,-4741600
"74",74,2011-01-06,26.83,28,26.81,27.88,27.88,2061200,0,1,16.8,17.56,16.79,17.4,27.5782,27.5833,-0.8533,-0.3558,-0.4974,49.9929,59.0929,51.4642,21.568,0.3982,8.3333,58.3333,17.9767,27.5782,37.1798,-1559676.289,-2680400
"75",75,2011-01-07,28,28.58,27.9,28.24,28.24,2247900,0,1,17.31,18.07,16.57,17.14,27.7066,27.6048,-0.7621,-0.2117,-0.5504,60.2435,76.033,51.8175,20.9357,9.4697,6.6667,56.6667,18.2805,27.7066,37.1326,-1559676.289,-432500
"76",76,2011-01-10,28.17,28.68,28.05,28.45,28.45,1342700,0,1,18.35,18.63,17.54,17.54,27.8349,27.6325,-0.6652,-0.0918,-0.5733,75.37,90.9842,52.0246,20.3386,10.1846,5,55,18.5831,27.8349,37.0867,-1197360.416,910200
"77",77,2011-01-11,28.59,28.71,26.92,26.96,26.96,1710200,0,1,16.61,17.35,16.6,16.89,27.9419,27.6105,-0.7005,-0.1018,-0.5988,78.9193,69.7408,50.4594,19.7266,-6.6674,3.3333,53.3333,18.8836,27.9419,37.0002,-2831126.8964,-8e+05
